Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_11_26  09_18_27     1.0     111.721930
    2  2018_11_26  09_18_37    11.0     111.721430
    3  2018_11_26  09_18_47    21.0     111.721100
    4  2018_11_26  09_18_57    31.0     111.720990
    5  2018_11_26  09_19_07    41.0     111.720550
    6  2018_11_26  09_19_17    51.0     111.720660
    7  2018_11_26  09_19_27    61.0     111.720750
    8  2018_11_26  09_19_37    71.0     111.720780
    9  2018_11_26  09_19_47    81.0     111.720930
   10  2018_11_26  09_19_57    91.0     111.721250
   11  2018_11_26  09_20_07   101.0     111.721490
   12  2018_11_26  09_20_17   111.0     111.721870
   13  2018_11_26  09_20_27   121.0     111.721930
   14  2018_11_26  09_20_37   131.0     111.722540
   15  2018_11_26  09_20_47   141.0     111.721780
   16  2018_11_26  09_20_57   151.0     111.721980
   17  2018_11_26  09_21_07   161.0     111.722160
   18  2018_11_26  09_21_17   171.0     111.722310
   19  2018_11_26  09_21_27   181.0     111.722130
   20  2018_11_26  09_21_37   191.0     111.722220
   21  2018_11_26  09_21_47   201.0     111.722220
   22  2018_11_26  09_21_57   211.0     111.722190
   23  2018_11_26  09_22_07   221.0     111.721900
   24  2018_11_26  09_22_17   231.0     111.722190
   25  2018_11_26  09_22_27   241.0     111.722340
   26  2018_11_26  09_22_37   251.0     111.722250
   27  2018_11_26  09_22_47   261.0     111.722810
   28  2018_11_26  09_22_57   271.0     111.723280
   29  2018_11_26  09_23_07   281.0     111.723600
   30  2018_11_26  09_23_17   291.0     111.724510
   31  2018_11_26  09_23_27   301.0     111.724300
   32  2018_11_26  09_23_37   311.0     111.724830
   33  2018_11_26  09_23_47   321.0     111.725360
   34  2018_11_26  09_23_57   331.0     111.725130
   35  2018_11_26  09_24_07   341.0     111.725740
   36  2018_11_26  09_24_17   351.0     111.726270
   37  2018_11_26  09_24_27   361.0     111.726710
   38  2018_11_26  09_24_37   371.0     111.726740
   39  2018_11_26  09_24_47   381.0     111.727070
   40  2018_11_26  09_24_57   391.0     111.726650
   41  2018_11_26  09_25_07   401.0     111.726710
   42  2018_11_26  09_25_17   411.0     111.726980
   43  2018_11_26  09_25_27   421.0     111.726680
   44  2018_11_26  09_25_37   431.0     111.726240
   45  2018_11_26  09_25_47   441.0     111.726330
   46  2018_11_26  09_25_57   451.0     111.726330
   47  2018_11_26  09_26_07   461.0     111.725680
   48  2018_11_26  09_26_17   471.0     111.725540
   49  2018_11_26  09_26_27   481.0     111.724800
   50  2018_11_26  09_26_37   491.0     111.724950
   51  2018_11_26  09_26_47   501.0     111.723690
   52  2018_11_26  09_26_57   511.0     111.723810
   53  2018_11_26  09_27_07   521.0     111.723690
   54  2018_11_26  09_27_17   531.0     111.723010
   55  2018_11_26  09_27_27   541.0     111.723100
   56  2018_11_26  09_27_37   551.0     111.722890
   57  2018_11_26  09_27_47   561.0     111.723340
   58  2018_11_26  09_27_57   571.0     111.723130
   59  2018_11_26  09_28_07   581.0     111.723250
   60  2018_11_26  09_28_17   591.0     111.723950
   61  2018_11_26  09_28_27   601.0     111.724130
   62  2018_11_26  09_28_37   611.0     111.725300
   63  2018_11_26  09_28_47   621.0     111.725360
   64  2018_11_26  09_28_57   631.0     111.726450
   65  2018_11_26  09_29_07   641.0     111.727070
   66  2018_11_26  09_29_17   651.0     111.726770
   67  2018_11_26  09_29_27   661.0     111.727240
   68  2018_11_26  09_29_37   671.0     111.727800
   69  2018_11_26  09_29_47   681.0     111.728150
   70  2018_11_26  09_29_57   691.0     111.729060
   71  2018_11_26  09_30_07   701.0     111.729500
   72  2018_11_26  09_30_17   711.0     111.730820
   73  2018_11_26  09_30_27   721.0     111.730940
   74  2018_11_26  09_30_37   731.0     111.732000
   75  2018_11_26  09_30_47   741.0     111.732530
   76  2018_11_26  09_30_57   751.0     111.733000
   77  2018_11_26  09_31_07   761.0     111.733500
