Pt.        Date      Time        RT/s       R/Omiga    
  127  2018_11_27  08_59_02  1260.0     119.415360
  128  2018_11_27  08_59_12  1270.0     119.414950
  129  2018_11_27  08_59_22  1280.0     119.415070
  130  2018_11_27  08_59_32  1290.0     119.414830
  131  2018_11_27  08_59_42  1300.0     119.415160
  132  2018_11_27  08_59_52  1310.0     119.411780
  133  2018_11_27  09_00_02  1320.0     119.408720
  134  2018_11_27  09_00_12  1330.0     119.406670
  135  2018_11_27  09_00_22  1340.0     119.406350
  136  2018_11_27  09_00_32  1350.0     119.406850
  137  2018_11_27  09_00_42  1360.0     119.408050
  138  2018_11_27  09_00_52  1370.0     119.410430
  139  2018_11_27  09_01_02  1380.0     119.412040
  140  2018_11_27  09_01_12  1390.0     119.414190
  141  2018_11_27  09_01_22  1400.0     119.416160
  142  2018_11_27  09_01_32  1410.0     119.417920
  143  2018_11_27  09_01_42  1420.0     119.419710
  144  2018_11_27  09_01_52  1430.0     119.421590
  145  2018_11_27  09_02_02  1440.0     119.422180
  146  2018_11_27  09_02_12  1450.0     119.422680
  147  2018_11_27  09_02_22  1460.0     119.422760
  148  2018_11_27  09_02_32  1470.0     119.423060
  149  2018_11_27  09_02_42  1480.0     119.422090
  150  2018_11_27  09_02_52  1490.0     119.422180
  151  2018_11_27  09_03_02  1500.0     119.421620
  152  2018_11_27  09_03_12  1510.0     119.420940
  153  2018_11_27  09_03_22  1520.0     119.420850
  154  2018_11_27  09_03_32  1530.0     119.420270
  155  2018_11_27  09_03_42  1540.0     119.420000
  156  2018_11_27  09_03_52  1550.0     119.419500
  157  2018_11_27  09_04_02  1560.0     119.419270
  158  2018_11_27  09_04_12  1570.0     119.419330
  159  2018_11_27  09_04_22  1580.0     119.418860
  160  2018_11_27  09_04_32  1590.0     119.418210
  161  2018_11_27  09_04_42  1600.0     119.418770
  162  2018_11_27  09_04_52  1610.0     119.417950
  163  2018_11_27  09_05_02  1620.0     119.418210
  164  2018_11_27  09_05_12  1630.0     119.417740
  165  2018_11_27  09_05_22  1640.0     119.417650
  166  2018_11_27  09_05_32  1650.0     119.417450
  167  2018_11_27  09_05_42  1660.0     119.417330
  168  2018_11_27  09_05_52  1670.0     119.416920
  169  2018_11_27  09_06_02  1680.0     119.416710
  170  2018_11_27  09_06_12  1690.0     119.416860
  171  2018_11_27  09_06_22  1700.0     119.417040
  172  2018_11_27  09_06_32  1710.0     119.416800
  173  2018_11_27  09_06_42  1720.0     119.416570
  174  2018_11_27  09_06_52  1730.0     119.416630
  175  2018_11_27  09_07_02  1740.0     119.417040
  176  2018_11_27  09_07_12  1750.0     119.416570
  177  2018_11_27  09_07_22  1760.0     119.416630
  178  2018_11_27  09_07_32  1770.0     119.417010
  179  2018_11_27  09_07_42  1780.0     119.416600
  180  2018_11_27  09_07_52  1790.0     119.411690
  181  2018_11_27  09_08_02  1800.0     119.408810
  182  2018_11_27  09_08_12  1810.0     119.407020
  183  2018_11_27  09_08_22  1820.0     119.406230
  184  2018_11_27  09_08_32  1830.0     119.407200
  185  2018_11_27  09_08_42  1840.0     119.407400
  186  2018_11_27  09_08_52  1850.0     119.409280
  187  2018_11_27  09_09_02  1860.0     119.411130
  188  2018_11_27  09_09_12  1870.0     119.412070
  189  2018_11_27  09_09_22  1880.0     119.413950
  190  2018_11_27  09_09_32  1890.0     119.416540
  191  2018_11_27  09_09_42  1900.0     119.418210
  192  2018_11_27  09_09_52  1910.0     119.420410
  193  2018_11_27  09_10_02  1920.0     119.421850
  194  2018_11_27  09_10_12  1930.0     119.422700
  195  2018_11_27  09_10_22  1940.0     119.423820
  196  2018_11_27  09_10_33  1951.0     119.423440
  197  2018_11_27  09_10_42  1960.0     119.423200
  198  2018_11_27  09_10_52  1970.0     119.422910
  199  2018_11_27  09_11_02  1980.0     119.422820
  200  2018_11_27  09_11_12  1990.0     119.422470
  201  2018_11_27  09_11_22  2000.0     119.421910
  202  2018_11_27  09_11_32  2010.0     119.421560
  203  2018_11_27  09_11_42  2020.0     119.421210
  204  2018_11_27  09_11_52  2030.0     119.421180
  205  2018_11_27  09_12_02  2040.0     119.420060
  206  2018_11_27  09_12_12  2050.0     119.420150
  207  2018_11_27  09_12_22  2060.0     119.419030
  208  2018_11_27  09_12_32  2070.0     119.419240
  209  2018_11_27  09_12_42  2080.0     119.418680
  210  2018_11_27  09_12_52  2090.0     119.418890
  211  2018_11_27  09_13_02  2100.0     119.418800
  212  2018_11_27  09_13_12  2110.0     119.418240
  213  2018_11_27  09_13_22  2120.0     119.418150
  214  2018_11_27  09_13_32  2130.0     119.418010
  215  2018_11_27  09_13_42  2140.0     119.417680
  216  2018_11_27  09_13_52  2150.0     119.418030
  217  2018_11_27  09_14_02  2160.0     119.417710
  218  2018_11_27  09_14_12  2170.0     119.418090
  219  2018_11_27  09_14_22  2180.0     119.417510
  220  2018_11_27  09_14_32  2190.0     119.417560
  221  2018_11_27  09_14_42  2200.0     119.417180
  222  2018_11_27  09_14_52  2210.0     119.417510
  223  2018_11_27  09_15_02  2220.0     119.417330
  224  2018_11_27  09_15_12  2230.0     119.417420
  225  2018_11_27  09_15_22  2240.0     119.417070
  226  2018_11_27  09_15_32  2250.0     119.417540
  227  2018_11_27  09_15_42  2260.0     119.416950
  228  2018_11_27  09_15_52  2270.0     119.417240
  229  2018_11_27  09_16_02  2280.0     119.417890
  230  2018_11_27  09_16_12  2290.0     119.417300
  231  2018_11_27  09_16_22  2300.0     119.417180
  232  2018_11_27  09_16_32  2310.0     119.417010
  233  2018_11_27  09_16_42  2320.0     119.412540
  234  2018_11_27  09_16_52  2330.0     119.408870
  235  2018_11_27  09_17_02  2340.0     119.406640
  236  2018_11_27  09_17_12  2350.0     119.406520
  237  2018_11_27  09_17_22  2360.0     119.406490
  238  2018_11_27  09_17_32  2370.0     119.408050
  239  2018_11_27  09_17_42  2380.0     119.409430
  240  2018_11_27  09_17_52  2390.0     119.411050
  241  2018_11_27  09_18_02  2400.0     119.412630
  242  2018_11_27  09_18_12  2410.0     119.414690
  243  2018_11_27  09_18_22  2420.0     119.416630
  244  2018_11_27  09_18_32  2430.0     119.419210
  245  2018_11_27  09_18_42  2440.0     119.420270
  246  2018_11_27  09_18_52  2450.0     119.420770
  247  2018_11_27  09_19_02  2460.0     119.421290
  248  2018_11_27  09_19_12  2470.0     119.421240
  249  2018_11_27  09_19_22  2480.0     119.421060
  250  2018_11_27  09_19_32  2490.0     119.420940
  251  2018_11_27  09_19_42  2500.0     119.421320
  252  2018_11_27  09_19_52  2510.0     119.420530
  253  2018_11_27  09_20_02  2520.0     119.420350
  254  2018_11_27  09_20_12  2530.0     119.420150
  255  2018_11_27  09_20_22  2540.0     119.419710
  256  2018_11_27  09_20_32  2550.0     119.419150
  257  2018_11_27  09_20_42  2560.0     119.419330
  258  2018_11_27  09_20_52  2570.0     119.418620
  259  2018_11_27  09_21_02  2580.0     119.418390
  260  2018_11_27  09_21_12  2590.0     119.418030
  261  2018_11_27  09_21_22  2600.0     119.418590
