Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_12_04  13_09_44     0.0     107.885650
    2  2018_12_04  13_09_54    10.0     107.885770
    3  2018_12_04  13_10_04    20.0     107.885380
    4  2018_12_04  13_10_14    30.0     107.885440
    5  2018_12_04  13_10_24    40.0     107.885650
    6  2018_12_04  13_10_34    50.0     107.885620
    7  2018_12_04  13_10_44    60.0     107.884850
    8  2018_12_04  13_10_54    70.0     107.884800
    9  2018_12_04  13_11_04    80.0     107.884500
   10  2018_12_04  13_11_14    90.0     107.884240
   11  2018_12_04  13_11_24   100.0     107.883680
   12  2018_12_04  13_11_34   110.0     107.883860
   13  2018_12_04  13_11_44   120.0     107.883830
   14  2018_12_04  13_11_54   130.0     107.883650
   15  2018_12_04  13_12_04   140.0     107.883560
   16  2018_12_04  13_12_14   150.0     107.883390
   17  2018_12_04  13_12_24   160.0     107.883470
   18  2018_12_04  13_12_34   170.0     107.883360
   19  2018_12_04  13_12_44   180.0     107.882950
   20  2018_12_04  13_12_54   190.0     107.882830
   21  2018_12_04  13_13_04   200.0     107.883210
   22  2018_12_04  13_13_14   210.0     107.882950
   23  2018_12_04  13_13_24   220.0     107.882710
   24  2018_12_04  13_13_34   230.0     107.883060
   25  2018_12_04  13_13_44   240.0     107.882240
   26  2018_12_04  13_13_54   250.0     107.881920
   27  2018_12_04  13_14_04   260.0     107.882150
   28  2018_12_04  13_14_14   270.0     107.881980
   29  2018_12_04  13_14_24   280.0     107.882010
   30  2018_12_04  13_14_34   290.0     107.881770
   31  2018_12_04  13_14_44   300.0     107.881570
   32  2018_12_04  13_14_54   310.0     107.881710
   33  2018_12_04  13_15_04   320.0     107.881570
   34  2018_12_04  13_15_14   330.0     107.881300
   35  2018_12_04  13_15_24   340.0     107.881480
   36  2018_12_04  13_15_34   350.0     107.881450
   37  2018_12_04  13_15_44   360.0     107.881010
   38  2018_12_04  13_15_54   370.0     107.880830
   39  2018_12_04  13_16_04   380.0     107.880680
   40  2018_12_04  13_16_14   390.0     107.880450
   41  2018_12_04  13_16_24   400.0     107.880680
   42  2018_12_04  13_16_34   410.0     107.880450
   43  2018_12_04  13_16_44   420.0     107.879690
   44  2018_12_04  13_16_54   430.0     107.879980
   45  2018_12_04  13_17_04   440.0     107.879800
   46  2018_12_04  13_17_14   450.0     107.879570
   47  2018_12_04  13_17_24   460.0     107.879630
   48  2018_12_04  13_17_34   470.0     107.879480
   49  2018_12_04  13_17_44   480.0     107.879190
   50  2018_12_04  13_17_54   490.0     107.879980
   51  2018_12_04  13_18_04   500.0     107.879190
