Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_11_28  10_16_09     0.0     103.987140
    2  2018_11_28  10_16_19    10.0     103.986580
    3  2018_11_28  10_16_29    20.0     103.986230
    4  2018_11_28  10_16_39    30.0     103.986900
    5  2018_11_28  10_16_49    40.0     103.986460
    6  2018_11_28  10_16_59    50.0     103.986430
    7  2018_11_28  10_17_09    60.0     103.986340
    8  2018_11_28  10_17_19    70.0     103.986200
    9  2018_11_28  10_17_29    80.0     103.986320
   10  2018_11_28  10_17_39    90.0     103.986050
   11  2018_11_28  10_17_49   100.0     103.985930
   12  2018_11_28  10_17_59   110.0     103.985990
   13  2018_11_28  10_18_09   120.0     103.986110
   14  2018_11_28  10_18_19   130.0     103.985490
   15  2018_11_28  10_18_29   140.0     103.986110
   16  2018_11_28  10_18_39   150.0     103.985700
   17  2018_11_28  10_18_49   160.0     103.985320
   18  2018_11_28  10_18_59   170.0     103.985380
   19  2018_11_28  10_19_09   180.0     103.985020
   20  2018_11_28  10_19_19   190.0     103.985490
   21  2018_11_28  10_19_29   200.0     103.985110
   22  2018_11_28  10_19_39   210.0     103.985380
   23  2018_11_28  10_19_49   220.0     103.984880
   24  2018_11_28  10_19_59   230.0     103.985170
   25  2018_11_28  10_20_09   240.0     103.984790
   26  2018_11_28  10_20_19   250.0     103.984760
   27  2018_11_28  10_20_29   260.0     103.985020
   28  2018_11_28  10_20_39   270.0     103.984520
   29  2018_11_28  10_20_49   280.0     103.985020
   30  2018_11_28  10_20_59   290.0     103.984820
   31  2018_11_28  10_21_09   300.0     103.984610
   32  2018_11_28  10_21_19   310.0     103.984670
   33  2018_11_28  10_21_29   320.0     103.984880
   34  2018_11_28  10_21_39   330.0     103.985020
   35  2018_11_28  10_21_49   340.0     103.984080
   36  2018_11_28  10_21_59   350.0     103.984610
   37  2018_11_28  10_22_09   360.0     103.984520
   38  2018_11_28  10_22_19   370.0     103.984470
   39  2018_11_28  10_22_29   380.0     103.984170
   40  2018_11_28  10_22_39   390.0     103.983910
   41  2018_11_28  10_22_49   400.0     103.984290
   42  2018_11_28  10_22_59   410.0     103.983880
   43  2018_11_28  10_23_09   420.0     103.984140
   44  2018_11_28  10_23_19   430.0     103.984170
   45  2018_11_28  10_23_29   440.0     103.984050
   46  2018_11_28  10_23_39   450.0     103.983470
   47  2018_11_28  10_23_49   460.0     103.983580
   48  2018_11_28  10_23_59   470.0     103.983670
   49  2018_11_28  10_24_09   480.0     103.983970
   50  2018_11_28  10_24_19   490.0     103.984200
   51  2018_11_28  10_24_29   500.0     103.983910
   52  2018_11_28  10_24_39   510.0     103.984170
   53  2018_11_28  10_24_49   520.0     103.984000
   54  2018_11_28  10_24_59   530.0     103.984230
   55  2018_11_28  10_25_09   540.0     103.983640
   56  2018_11_28  10_25_19   550.0     103.983730
   57  2018_11_28  10_25_29   560.0     103.983790
   58  2018_11_28  10_25_39   570.0     103.983380
   59  2018_11_28  10_25_49   580.0     103.984110
   60  2018_11_28  10_25_59   590.0     103.983670
   61  2018_11_28  10_26_09   600.0     103.984050
   62  2018_11_28  10_26_19   610.0     103.983910
   63  2018_11_28  10_26_29   620.0     103.983820
   64  2018_11_28  10_26_39   630.0     103.983200
   65  2018_11_28  10_26_49   640.0     103.983940
   66  2018_11_28  10_26_59   650.0     103.983880
   67  2018_11_28  10_27_09   660.0     103.983820
   68  2018_11_28  10_27_19   670.0     103.984050
   69  2018_11_28  10_27_29   680.0     103.983760
   70  2018_11_28  10_27_39   690.0     103.983880
   71  2018_11_28  10_27_49   700.0     103.983550
   72  2018_11_28  10_27_59   710.0     103.983940
   73  2018_11_28  10_28_09   720.0     103.984110
   74  2018_11_28  10_28_19   730.0     103.983350
   75  2018_11_28  10_28_29   740.0     103.984350
