Pt.        Date      Time        RT/s       R/Omiga    
  127  2018_12_06  10_43_09  1260.0     119.416950
  128  2018_12_06  10_43_19  1270.0     119.417420
  129  2018_12_06  10_43_29  1280.0     119.417010
  130  2018_12_06  10_43_39  1290.0     119.417360
  131  2018_12_06  10_43_49  1300.0     119.417390
  132  2018_12_06  10_43_59  1310.0     119.417420
  133  2018_12_06  10_44_09  1320.0     119.417480
  134  2018_12_06  10_44_19  1330.0     119.417360
  135  2018_12_06  10_44_29  1340.0     119.417180
  136  2018_12_06  10_44_39  1350.0     119.417650
  137  2018_12_06  10_44_49  1360.0     119.417860
  138  2018_12_06  10_44_59  1370.0     119.417680
  139  2018_12_06  10_45_09  1380.0     119.417420
  140  2018_12_06  10_45_19  1390.0     119.417800
  141  2018_12_06  10_45_29  1400.0     119.418360
  142  2018_12_06  10_45_39  1410.0     119.417560
  143  2018_12_06  10_45_49  1420.0     119.418120
  144  2018_12_06  10_45_59  1430.0     119.418120
  145  2018_12_06  10_46_09  1440.0     119.417620
  146  2018_12_06  10_46_19  1450.0     119.417710
  147  2018_12_06  10_46_29  1460.0     119.417860
  148  2018_12_06  10_46_39  1470.0     119.418150
  149  2018_12_06  10_46_49  1480.0     119.418180
  150  2018_12_06  10_46_59  1490.0     119.418030
  151  2018_12_06  10_47_09  1500.0     119.417830
  152  2018_12_06  10_47_19  1510.0     119.417980
  153  2018_12_06  10_47_29  1520.0     119.417860
  154  2018_12_06  10_47_39  1530.0     119.417950
  155  2018_12_06  10_47_49  1540.0     119.418240
  156  2018_12_06  10_47_59  1550.0     119.418010
  157  2018_12_06  10_48_09  1560.0     119.418360
  158  2018_12_06  10_48_19  1570.0     119.418210
  159  2018_12_06  10_48_29  1580.0     119.417920
  160  2018_12_06  10_48_39  1590.0     119.418360
  161  2018_12_06  10_48_49  1600.0     119.418240
  162  2018_12_06  10_48_59  1610.0     119.418120
  163  2018_12_06  10_49_09  1620.0     119.418210
  164  2018_12_06  10_49_19  1630.0     119.418150
  165  2018_12_06  10_49_29  1640.0     119.417560
  166  2018_12_06  10_49_39  1650.0     119.417890
  167  2018_12_06  10_49_49  1660.0     119.417890
  168  2018_12_06  10_49_59  1670.0     119.418360
  169  2018_12_06  10_50_09  1680.0     119.418010
  170  2018_12_06  10_50_19  1690.0     119.417860
  171  2018_12_06  10_50_29  1700.0     119.418090
  172  2018_12_06  10_50_39  1710.0     119.418330
