Pt.        Date      Time        RT/s       R/Omiga    
  127  2018_08_30  08_27_48  1260.0     111.709710
  128  2018_08_30  08_27_58  1270.0     111.709180
  129  2018_08_30  08_28_08  1280.0     111.709240
  130  2018_08_30  08_28_18  1290.0     111.708770
  131  2018_08_30  08_28_28  1300.0     111.708860
  132  2018_08_30  08_28_38  1310.0     111.708710
  133  2018_08_30  08_28_48  1320.0     111.708500
  134  2018_08_30  08_28_58  1330.0     111.708330
  135  2018_08_30  08_29_08  1340.0     111.707890
  136  2018_08_30  08_29_18  1350.0     111.707770
  137  2018_08_30  08_29_28  1360.0     111.707830
  138  2018_08_30  08_29_38  1370.0     111.707800
  139  2018_08_30  08_29_48  1380.0     111.707300
  140  2018_08_30  08_29_58  1390.0     111.707530
  141  2018_08_30  08_30_08  1400.0     111.706420
  142  2018_08_30  08_30_18  1410.0     111.706770
  143  2018_08_30  08_30_28  1420.0     111.705300
  144  2018_08_30  08_30_38  1430.0     111.705420
  145  2018_08_30  08_30_48  1440.0     111.705160
  146  2018_08_30  08_30_58  1450.0     111.704690
  147  2018_08_30  08_31_08  1460.0     111.704830
  148  2018_08_30  08_31_18  1470.0     111.704920
  149  2018_08_30  08_31_28  1480.0     111.705160
  150  2018_08_30  08_31_38  1490.0     111.705160
  151  2018_08_30  08_31_48  1500.0     111.705100
  152  2018_08_30  08_31_58  1510.0     111.705920
  153  2018_08_30  08_32_08  1520.0     111.705540
  154  2018_08_30  08_32_18  1530.0     111.705830
  155  2018_08_30  08_32_28  1540.0     111.705330
  156  2018_08_30  08_32_38  1550.0     111.705540
  157  2018_08_30  08_32_48  1560.0     111.705570
  158  2018_08_30  08_32_58  1570.0     111.705390
  159  2018_08_30  08_33_08  1580.0     111.705890
  160  2018_08_30  08_33_18  1590.0     111.705570
  161  2018_08_30  08_33_28  1600.0     111.705710
  162  2018_08_30  08_33_38  1610.0     111.704720
  163  2018_08_30  08_33_48  1620.0     111.704190
  164  2018_08_30  08_33_58  1630.0     111.704860
  165  2018_08_30  08_34_08  1640.0     111.704250
  166  2018_08_30  08_34_18  1650.0     111.704190
  167  2018_08_30  08_34_28  1660.0     111.703750
  168  2018_08_30  08_34_38  1670.0     111.703190
  169  2018_08_30  08_34_48  1680.0     111.702630
  170  2018_08_30  08_34_58  1690.0     111.702570
  171  2018_08_30  08_35_08  1700.0     111.702250
  172  2018_08_30  08_35_18  1710.0     111.701630
  173  2018_08_30  08_35_28  1720.0     111.701720
  174  2018_08_30  08_35_38  1730.0     111.701430
  175  2018_08_30  08_35_48  1740.0     111.700930
  176  2018_08_30  08_35_58  1750.0     111.701130
  177  2018_08_30  08_36_08  1760.0     111.700690
  178  2018_08_30  08_36_18  1770.0     111.700990
  179  2018_08_30  08_36_28  1780.0     111.700550
  180  2018_08_30  08_36_38  1790.0     111.700840
  181  2018_08_30  08_36_48  1800.0     111.700750
  182  2018_08_30  08_36_58  1810.0     111.700430
  183  2018_08_30  08_37_08  1820.0     111.700370
  184  2018_08_30  08_37_18  1830.0     111.700810
  185  2018_08_30  08_37_28  1840.0     111.700340
  186  2018_08_30  08_37_38  1850.0     111.700250
  187  2018_08_30  08_37_48  1860.0     111.700190
  188  2018_08_30  08_37_58  1870.0     111.700130
  189  2018_08_30  08_38_08  1880.0     111.699960
  190  2018_08_30  08_38_18  1890.0     111.700310
  191  2018_08_30  08_38_28  1900.0     111.699520
  192  2018_08_30  08_38_38  1910.0     111.699250
  193  2018_08_30  08_38_48  1920.0     111.699430
  194  2018_08_30  08_38_58  1930.0     111.698610
  195  2018_08_30  08_39_08  1940.0     111.698930
  196  2018_08_30  08_39_18  1950.0     111.698340
  197  2018_08_30  08_39_28  1960.0     111.697700
  198  2018_08_30  08_39_38  1970.0     111.698110
  199  2018_08_30  08_39_48  1980.0     111.697730
  200  2018_08_30  08_39_58  1990.0     111.698050
  201  2018_08_30  08_40_08  2000.0     111.697840
  202  2018_08_30  08_40_18  2010.0     111.697640
  203  2018_08_30  08_40_28  2020.0     111.697200
  204  2018_08_30  08_40_38  2030.0     111.697020
  205  2018_08_30  08_40_48  2040.0     111.697200
  206  2018_08_30  08_40_58  2050.0     111.696460
  207  2018_08_30  08_41_08  2060.0     111.696730
  208  2018_08_30  08_41_18  2070.0     111.696370
  209  2018_08_30  08_41_28  2080.0     111.696230
  210  2018_08_30  08_41_38  2090.0     111.695930
  211  2018_08_30  08_41_48  2100.0     111.695900
  212  2018_08_30  08_41_58  2110.0     111.696400
  213  2018_08_30  08_42_08  2120.0     111.696290
  214  2018_08_30  08_42_18  2130.0     111.695960
  215  2018_08_30  08_42_28  2140.0     111.695930
  216  2018_08_30  08_42_38  2150.0     111.695580
  217  2018_08_30  08_42_48  2160.0     111.695490
  218  2018_08_30  08_42_58  2170.0     111.695170
  219  2018_08_30  08_43_08  2180.0     111.695350
  220  2018_08_30  08_43_18  2190.0     111.695490
  221  2018_08_30  08_43_28  2200.0     111.695730
  222  2018_08_30  08_43_38  2210.0     111.695430
  223  2018_08_30  08_43_48  2220.0     111.695610
  224  2018_08_30  08_43_58  2230.0     111.695670
  225  2018_08_30  08_44_08  2240.0     111.696020
  226  2018_08_30  08_44_18  2250.0     111.695930
  227  2018_08_30  08_44_28  2260.0     111.696050
  228  2018_08_30  08_44_38  2270.0     111.696200
  229  2018_08_30  08_44_48  2280.0     111.695930
  230  2018_08_30  08_44_58  2290.0     111.695880
  231  2018_08_30  08_45_08  2300.0     111.695700
  232  2018_08_30  08_45_18  2310.0     111.695490
  233  2018_08_30  08_45_28  2320.0     111.695140
  234  2018_08_30  08_45_38  2330.0     111.694880
  235  2018_08_30  08_45_48  2340.0     111.694470
  236  2018_08_30  08_45_58  2350.0     111.694170
  237  2018_08_30  08_46_08  2360.0     111.694380
  238  2018_08_30  08_46_18  2370.0     111.694260
  239  2018_08_30  08_46_28  2380.0     111.693470
  240  2018_08_30  08_46_38  2390.0     111.693090
  241  2018_08_30  08_46_48  2400.0     111.693000
  242  2018_08_30  08_46_58  2410.0     111.692650
  243  2018_08_30  08_47_08  2420.0     111.692200
  244  2018_08_30  08_47_18  2430.0     111.691790
  245  2018_08_30  08_47_28  2440.0     111.692000
  246  2018_08_30  08_47_38  2450.0     111.691940
  247  2018_08_30  08_47_48  2460.0     111.692260
  248  2018_08_30  08_47_58  2470.0     111.692060
  249  2018_08_30  08_48_08  2480.0     111.692650
  250  2018_08_30  08_48_18  2490.0     111.692290
  251  2018_08_30  08_48_28  2500.0     111.692150
  252  2018_08_30  08_48_38  2510.0     111.692000
  253  2018_08_30  08_48_48  2520.0     111.692530
  254  2018_08_30  08_48_58  2530.0     111.691650
  255  2018_08_30  08_49_08  2540.0     111.692150
  256  2018_08_30  08_49_18  2550.0     111.692620
  257  2018_08_30  08_49_28  2560.0     111.692410
  258  2018_08_30  08_49_38  2570.0     111.692090
  259  2018_08_30  08_49_48  2580.0     111.691970
  260  2018_08_30  08_49_58  2590.0     111.691760
  261  2018_08_30  08_50_08  2600.0     111.692260
  262  2018_08_30  08_50_18  2610.0     111.692060
  263  2018_08_30  08_50_28  2620.0     111.692320
  264  2018_08_30  08_50_38  2630.0     111.692410
  265  2018_08_30  08_50_48  2640.0     111.692590
  266  2018_08_30  08_50_58  2650.0     111.692730
  267  2018_08_30  08_51_08  2660.0     111.693230
  268  2018_08_30  08_51_18  2670.0     111.693000
  269  2018_08_30  08_51_28  2680.0     111.693290
  270  2018_08_30  08_51_38  2690.0     111.693320
  271  2018_08_30  08_51_48  2700.0     111.694200
  272  2018_08_30  08_51_58  2710.0     111.694000
  273  2018_08_30  08_52_08  2720.0     111.693850
  274  2018_08_30  08_52_18  2730.0     111.693940
  275  2018_08_30  08_52_28  2740.0     111.694320
  276  2018_08_30  08_52_38  2750.0     111.694700
  277  2018_08_30  08_52_48  2760.0     111.694290
  278  2018_08_30  08_52_58  2770.0     111.694610
  279  2018_08_30  08_53_08  2780.0     111.694730
  280  2018_08_30  08_53_18  2790.0     111.693940
  281  2018_08_30  08_53_28  2800.0     111.694500
  282  2018_08_30  08_53_38  2810.0     111.693560
  283  2018_08_30  08_53_48  2820.0     111.693670
  284  2018_08_30  08_53_58  2830.0     111.693730
  285  2018_08_30  08_54_08  2840.0     111.693820
  286  2018_08_30  08_54_18  2850.0     111.693320
  287  2018_08_30  08_54_28  2860.0     111.694030
  288  2018_08_30  08_54_38  2870.0     111.693940
  289  2018_08_30  08_54_48  2880.0     111.694290
  290  2018_08_30  08_54_58  2890.0     111.694990
  291  2018_08_30  08_55_08  2900.0     111.695050
  292  2018_08_30  08_55_18  2910.0     111.695520
  293  2018_08_30  08_55_28  2920.0     111.695820
  294  2018_08_30  08_55_38  2930.0     111.695410
  295  2018_08_30  08_55_48  2940.0     111.696320
  296  2018_08_30  08_55_58  2950.0     111.696670
  297  2018_08_30  08_56_08  2960.0     111.696290
  298  2018_08_30  08_56_18  2970.0     111.695850
  299  2018_08_30  08_56_28  2980.0     111.696080
  300  2018_08_30  08_56_38  2990.0     111.695880
  301  2018_08_30  08_56_48  3000.0     111.695730
  302  2018_08_30  08_56_58  3010.0     111.695460
  303  2018_08_30  08_57_08  3020.0     111.696170
  304  2018_08_30  08_57_18  3030.0     111.695700
  305  2018_08_30  08_57_28  3040.0     111.695930
  306  2018_08_30  08_57_38  3050.0     111.696110
  307  2018_08_30  08_57_48  3060.0     111.695640
  308  2018_08_30  08_57_58  3070.0     111.695380
  309  2018_08_30  08_58_08  3080.0     111.695200
  310  2018_08_30  08_58_18  3090.0     111.695110
  311  2018_08_30  08_58_28  3100.0     111.694820
  312  2018_08_30  08_58_38  3110.0     111.694880
  313  2018_08_30  08_58_48  3120.0     111.694910
  314  2018_08_30  08_58_58  3130.0     111.694700
  315  2018_08_30  08_59_08  3140.0     111.694700
  316  2018_08_30  08_59_18  3150.0     111.694970
  317  2018_08_30  08_59_28  3160.0     111.695410
  318  2018_08_30  08_59_38  3170.0     111.694850
  319  2018_08_30  08_59_48  3180.0     111.695080
  320  2018_08_30  08_59_58  3190.0     111.695320
  321  2018_08_30  09_00_08  3200.0     111.695960
  322  2018_08_30  09_00_18  3210.0     111.696110
