Pt.        Date      Time        RT/s       R/Omiga    
  127  2018_08_29  08_27_27  1260.0     103.920680
  128  2018_08_29  08_27_37  1270.0     103.920560
  129  2018_08_29  08_27_47  1280.0     103.920150
  130  2018_08_29  08_27_57  1290.0     103.920270
  131  2018_08_29  08_28_07  1300.0     103.920410
  132  2018_08_29  08_28_17  1310.0     103.919560
  133  2018_08_29  08_28_27  1320.0     103.920290
  134  2018_08_29  08_28_37  1330.0     103.920180
  135  2018_08_29  08_28_47  1340.0     103.919710
  136  2018_08_29  08_28_57  1350.0     103.919820
  137  2018_08_29  08_29_07  1360.0     103.919560
  138  2018_08_29  08_29_17  1370.0     103.919590
  139  2018_08_29  08_29_27  1380.0     103.919210
  140  2018_08_29  08_29_37  1390.0     103.919180
  141  2018_08_29  08_29_47  1400.0     103.919090
  142  2018_08_29  08_29_57  1410.0     103.918830
  143  2018_08_29  08_30_07  1420.0     103.919240
  144  2018_08_29  08_30_17  1430.0     103.918860
  145  2018_08_29  08_30_27  1440.0     103.918500
  146  2018_08_29  08_30_37  1450.0     103.918830
  147  2018_08_29  08_30_47  1460.0     103.918390
  148  2018_08_29  08_30_57  1470.0     103.918940
  149  2018_08_29  08_31_07  1480.0     103.918910
  150  2018_08_29  08_31_17  1490.0     103.919090
  151  2018_08_29  08_31_27  1500.0     103.919000
  152  2018_08_29  08_31_37  1510.0     103.918710
  153  2018_08_29  08_31_47  1520.0     103.918770
  154  2018_08_29  08_31_57  1530.0     103.918620
  155  2018_08_29  08_32_07  1540.0     103.918770
  156  2018_08_29  08_32_17  1550.0     103.918910
  157  2018_08_29  08_32_27  1560.0     103.918910
  158  2018_08_29  08_32_37  1570.0     103.918910
  159  2018_08_29  08_32_47  1580.0     103.918970
  160  2018_08_29  08_32_57  1590.0     103.918590
  161  2018_08_29  08_33_07  1600.0     103.918910
  162  2018_08_29  08_33_17  1610.0     103.918650
  163  2018_08_29  08_33_27  1620.0     103.918770
  164  2018_08_29  08_33_37  1630.0     103.918650
  165  2018_08_29  08_33_47  1640.0     103.918620
  166  2018_08_29  08_33_57  1650.0     103.918360
  167  2018_08_29  08_34_07  1660.0     103.918620
  168  2018_08_29  08_34_17  1670.0     103.918390
  169  2018_08_29  08_34_27  1680.0     103.918680
  170  2018_08_29  08_34_37  1690.0     103.918650
  171  2018_08_29  08_34_47  1700.0     103.918300
  172  2018_08_29  08_34_57  1710.0     103.918620
  173  2018_08_29  08_35_07  1720.0     103.918150
  174  2018_08_29  08_35_17  1730.0     103.918830
  175  2018_08_29  08_35_27  1740.0     103.918390
  176  2018_08_29  08_35_37  1750.0     103.918000
  177  2018_08_29  08_35_47  1760.0     103.918030
  178  2018_08_29  08_35_57  1770.0     103.918330
  179  2018_08_29  08_36_07  1780.0     103.917710
  180  2018_08_29  08_36_17  1790.0     103.918270
  181  2018_08_29  08_36_27  1800.0     103.918420
  182  2018_08_29  08_36_37  1810.0     103.918420
  183  2018_08_29  08_36_47  1820.0     103.918210
  184  2018_08_29  08_36_57  1830.0     103.918530
  185  2018_08_29  08_37_07  1840.0     103.918560
  186  2018_08_29  08_37_17  1850.0     103.918590
  187  2018_08_29  08_37_27  1860.0     103.918620
  188  2018_08_29  08_37_37  1870.0     103.918830
  189  2018_08_29  08_37_47  1880.0     103.918680
  190  2018_08_29  08_37_57  1890.0     103.918390
  191  2018_08_29  08_38_07  1900.0     103.918740
  192  2018_08_29  08_38_17  1910.0     103.918560
  193  2018_08_29  08_38_27  1920.0     103.918910
  194  2018_08_29  08_38_37  1930.0     103.918440
  195  2018_08_29  08_38_47  1940.0     103.918500
  196  2018_08_29  08_38_57  1950.0     103.918530
  197  2018_08_29  08_39_07  1960.0     103.917890
  198  2018_08_29  08_39_17  1970.0     103.918210
  199  2018_08_29  08_39_27  1980.0     103.918830
  200  2018_08_29  08_39_37  1990.0     103.918300
  201  2018_08_29  08_39_47  2000.0     103.918620
  202  2018_08_29  08_39_57  2010.0     103.918150
  203  2018_08_29  08_40_07  2020.0     103.917710
  204  2018_08_29  08_40_17  2030.0     103.918060
  205  2018_08_29  08_40_27  2040.0     103.917680
  206  2018_08_29  08_40_37  2050.0     103.917390
  207  2018_08_29  08_40_47  2060.0     103.917920
  208  2018_08_29  08_40_57  2070.0     103.917620
  209  2018_08_29  08_41_07  2080.0     103.917710
  210  2018_08_29  08_41_17  2090.0     103.917150
  211  2018_08_29  08_41_27  2100.0     103.917500
  212  2018_08_29  08_41_37  2110.0     103.917300
  213  2018_08_29  08_41_47  2120.0     103.917300
  214  2018_08_29  08_41_57  2130.0     103.917240
  215  2018_08_29  08_42_07  2140.0     103.916980
  216  2018_08_29  08_42_17  2150.0     103.917530
  217  2018_08_29  08_42_27  2160.0     103.917330
  218  2018_08_29  08_42_37  2170.0     103.916740
  219  2018_08_29  08_42_47  2180.0     103.916920
  220  2018_08_29  08_42_57  2190.0     103.917300
  221  2018_08_29  08_43_07  2200.0     103.917330
  222  2018_08_29  08_43_17  2210.0     103.917330
  223  2018_08_29  08_43_27  2220.0     103.916890
  224  2018_08_29  08_43_37  2230.0     103.917420
  225  2018_08_29  08_43_47  2240.0     103.917180
  226  2018_08_29  08_43_57  2250.0     103.916770
  227  2018_08_29  08_44_07  2260.0     103.917710
  228  2018_08_29  08_44_17  2270.0     103.917330
  229  2018_08_29  08_44_27  2280.0     103.917010
  230  2018_08_29  08_44_37  2290.0     103.917150
  231  2018_08_29  08_44_47  2300.0     103.916950
  232  2018_08_29  08_44_57  2310.0     103.917240
  233  2018_08_29  08_45_07  2320.0     103.916980
  234  2018_08_29  08_45_17  2330.0     103.916830
  235  2018_08_29  08_45_27  2340.0     103.917240
  236  2018_08_29  08_45_37  2350.0     103.917620
  237  2018_08_29  08_45_47  2360.0     103.917180
  238  2018_08_29  08_45_57  2370.0     103.917180
  239  2018_08_29  08_46_07  2380.0     103.917270
  240  2018_08_29  08_46_17  2390.0     103.917150
  241  2018_08_29  08_46_27  2400.0     103.917450
  242  2018_08_29  08_46_37  2410.0     103.917770
  243  2018_08_29  08_46_47  2420.0     103.917680
  244  2018_08_29  08_46_57  2430.0     103.917120
  245  2018_08_29  08_47_07  2440.0     103.917420
  246  2018_08_29  08_47_17  2450.0     103.917300
  247  2018_08_29  08_47_27  2460.0     103.917680
  248  2018_08_29  08_47_37  2470.0     103.917390
  249  2018_08_29  08_47_47  2480.0     103.917390
  250  2018_08_29  08_47_57  2490.0     103.917450
  251  2018_08_29  08_48_07  2500.0     103.917590
  252  2018_08_29  08_48_17  2510.0     103.916980
  253  2018_08_29  08_48_27  2520.0     103.917300
  254  2018_08_29  08_48_37  2530.0     103.917450
  255  2018_08_29  08_48_47  2540.0     103.917420
  256  2018_08_29  08_48_57  2550.0     103.917150
  257  2018_08_29  08_49_07  2560.0     103.917300
  258  2018_08_29  08_49_17  2570.0     103.917480
  259  2018_08_29  08_49_27  2580.0     103.917530
  260  2018_08_29  08_49_37  2590.0     103.917620
  261  2018_08_29  08_49_47  2600.0     103.917620
  262  2018_08_29  08_49_57  2610.0     103.918210
  263  2018_08_29  08_50_07  2620.0     103.917740
  264  2018_08_29  08_50_17  2630.0     103.917890
  265  2018_08_29  08_50_27  2640.0     103.917680
  266  2018_08_29  08_50_37  2650.0     103.917680
  267  2018_08_29  08_50_47  2660.0     103.917860
  268  2018_08_29  08_50_57  2670.0     103.917920
