Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_02_12  14_34_42     1.0     104.068720
    2  2018_02_12  14_34_52    11.0     104.068340
    3  2018_02_12  14_35_02    21.0     104.068170
    4  2018_02_12  14_35_12    31.0     104.068430
    5  2018_02_12  14_35_22    41.0     104.067260
    6  2018_02_12  14_35_32    51.0     104.067700
    7  2018_02_12  14_35_42    61.0     104.067780
    8  2018_02_12  14_35_52    71.0     104.067580
    9  2018_02_12  14_36_02    81.0     104.067080
   10  2018_02_12  14_36_12    91.0     104.066870
   11  2018_02_12  14_36_22   101.0     104.067170
   12  2018_02_12  14_36_32   111.0     104.067080
   13  2018_02_12  14_36_42   121.0     104.066490
   14  2018_02_12  14_36_52   131.0     104.066760
   15  2018_02_12  14_37_02   141.0     104.066930
   16  2018_02_12  14_37_12   151.0     104.066610
   17  2018_02_12  14_37_22   161.0     104.066520
   18  2018_02_12  14_37_32   171.0     104.066700
   19  2018_02_12  14_37_42   181.0     104.066370
   20  2018_02_12  14_37_52   191.0     104.066230
   21  2018_02_12  14_38_02   201.0     104.067140
   22  2018_02_12  14_38_12   211.0     104.066400
   23  2018_02_12  14_38_22   221.0     104.066490
   24  2018_02_12  14_38_32   231.0     104.066930
   25  2018_02_12  14_38_42   241.0     104.066460
   26  2018_02_12  14_38_52   251.0     104.066350
   27  2018_02_12  14_39_02   261.0     104.066050
   28  2018_02_12  14_39_12   271.0     104.065080
   29  2018_02_12  14_39_22   281.0     104.063610
   30  2018_02_12  14_39_32   291.0     104.061790
   31  2018_02_12  14_39_42   301.0     104.059500
   32  2018_02_12  14_39_52   311.0     104.056390
   33  2018_02_12  14_40_02   321.0     104.053660
   34  2018_02_12  14_40_12   331.0     104.052370
   35  2018_02_12  14_40_22   341.0     104.051980
   36  2018_02_12  14_40_32   351.0     104.051540
   37  2018_02_12  14_40_42   361.0     104.052220
   38  2018_02_12  14_40_52   371.0     104.053950
   39  2018_02_12  14_41_02   381.0     104.056240
   40  2018_02_12  14_41_12   391.0     104.059970
   41  2018_02_12  14_41_22   401.0     104.061880
   42  2018_02_12  14_41_32   411.0     104.063030
   43  2018_02_12  14_41_42   421.0     104.064520
   44  2018_02_12  14_41_52   431.0     104.065410
   45  2018_02_12  14_42_02   441.0     104.066080
   46  2018_02_12  14_42_12   451.0     104.066370
   47  2018_02_12  14_42_22   461.0     104.066260
   48  2018_02_12  14_42_32   471.0     104.066140
   49  2018_02_12  14_42_42   481.0     104.066670
   50  2018_02_12  14_42_52   491.0     104.066700
   51  2018_02_12  14_43_02   501.0     104.066840
   52  2018_02_12  14_43_12   511.0     104.066520
   53  2018_02_12  14_43_22   521.0     104.066840
   54  2018_02_12  14_43_32   531.0     104.066960
   55  2018_02_12  14_43_42   541.0     104.066580
   56  2018_02_12  14_43_52   551.0     104.066260
   57  2018_02_12  14_44_02   561.0     104.066490
   58  2018_02_12  14_44_12   571.0     104.066460
   59  2018_02_12  14_44_22   581.0     104.066320
   60  2018_02_12  14_44_32   591.0     104.066080
   61  2018_02_12  14_44_42   601.0     104.065880
   62  2018_02_12  14_44_52   611.0     104.065960
   63  2018_02_12  14_45_02   621.0     104.066610
   64  2018_02_12  14_45_12   631.0     104.066140
   65  2018_02_12  14_45_22   641.0     104.066790
   66  2018_02_12  14_45_32   651.0     104.066610
   67  2018_02_12  14_45_42   661.0     104.066170
   68  2018_02_12  14_45_52   671.0     104.066320
   69  2018_02_12  14_46_02   681.0     104.065900
   70  2018_02_12  14_46_12   691.0     104.066260
   71  2018_02_12  14_46_22   701.0     104.066200
   72  2018_02_12  14_46_32   711.0     104.066140
   73  2018_02_12  14_46_42   721.0     104.066140
   74  2018_02_12  14_46_52   731.0     104.066370
   75  2018_02_12  14_47_02   741.0     104.066020
   76  2018_02_12  14_47_12   751.0     104.066580
   77  2018_02_12  14_47_22   761.0     104.066430
   78  2018_02_12  14_47_32   771.0     104.066760
   79  2018_02_12  14_47_42   781.0     104.066580
   80  2018_02_12  14_47_52   791.0     104.066700
   81  2018_02_12  14_48_02   801.0     104.067200
   82  2018_02_12  14_48_12   811.0     104.067900
   83  2018_02_12  14_48_22   821.0     104.068750
   84  2018_02_12  14_48_32   831.0     104.069930
   85  2018_02_12  14_48_42   841.0     104.071370
   86  2018_02_12  14_48_52   851.0     104.071840
   87  2018_02_12  14_49_02   861.0     104.072280
   88  2018_02_12  14_49_12   871.0     104.071810
   89  2018_02_12  14_49_22   881.0     104.071630
   90  2018_02_12  14_49_32   891.0     104.071930
   91  2018_02_12  14_49_42   901.0     104.071570
   92  2018_02_12  14_49_52   911.0     104.071480
   93  2018_02_12  14_50_02   921.0     104.071040
   94  2018_02_12  14_50_12   931.0     104.070370
   95  2018_02_12  14_50_22   941.0     104.070570
   96  2018_02_12  14_50_32   951.0     104.070460
   97  2018_02_12  14_50_42   961.0     104.069990
   98  2018_02_12  14_50_52   971.0     104.069990
   99  2018_02_12  14_51_02   981.0     104.069960
  100  2018_02_12  14_51_12   991.0     104.069630
  101  2018_02_12  14_51_22  1001.0     104.069220
  102  2018_02_12  14_51_32  1011.0     104.069340
  103  2018_02_12  14_51_42  1021.0     104.069310
  104  2018_02_12  14_51_52  1031.0     104.069110
  105  2018_02_12  14_52_02  1041.0     104.069130
  106  2018_02_12  14_52_12  1051.0     104.068810
  107  2018_02_12  14_52_22  1061.0     104.068430
  108  2018_02_12  14_52_32  1071.0     104.068220
  109  2018_02_12  14_52_42  1081.0     104.067900
  110  2018_02_12  14_52_52  1091.0     104.068840
  111  2018_02_12  14_53_02  1101.0     104.068370
  112  2018_02_12  14_53_12  1111.0     104.068430
  113  2018_02_12  14_53_22  1121.0     104.068110
  114  2018_02_12  14_53_32  1131.0     104.068520
  115  2018_02_12  14_53_42  1141.0     104.068310
  116  2018_02_12  14_53_52  1151.0     104.067870
  117  2018_02_12  14_54_02  1161.0     104.067580
  118  2018_02_12  14_54_12  1171.0     104.068020
  119  2018_02_12  14_54_22  1181.0     104.067900
  120  2018_02_12  14_54_32  1191.0     104.067670
  121  2018_02_12  14_54_42  1201.0     104.067840
  122  2018_02_12  14_54_52  1211.0     104.067870
  123  2018_02_12  14_55_02  1221.0     104.068110
  124  2018_02_12  14_55_12  1231.0     104.067730
  125  2018_02_12  14_55_22  1241.0     104.067700
  126  2018_02_12  14_55_32  1251.0     104.067730
  127  2018_02_12  14_55_42  1261.0     104.067580
  128  2018_02_12  14_55_52  1271.0     104.067340
  129  2018_02_12  14_56_02  1281.0     104.067730
  130  2018_02_12  14_56_12  1291.0     104.067750
  131  2018_02_12  14_56_22  1301.0     104.067640
  132  2018_02_12  14_56_32  1311.0     104.067460
  133  2018_02_12  14_56_42  1321.0     104.067170
  134  2018_02_12  14_56_52  1331.0     104.067640
  135  2018_02_12  14_57_02  1341.0     104.067640
  136  2018_02_12  14_57_12  1351.0     104.067810
  137  2018_02_12  14_57_22  1361.0     104.067730
  138  2018_02_12  14_57_32  1371.0     104.067670
  139  2018_02_12  14_57_42  1381.0     104.067580
  140  2018_02_12  14_57_52  1391.0     104.067310
  141  2018_02_12  14_58_02  1401.0     104.067430
  142  2018_02_12  14_58_12  1411.0     104.067640
  143  2018_02_12  14_58_22  1421.0     104.067780
  144  2018_02_12  14_58_32  1431.0     104.067610
  145  2018_02_12  14_58_42  1441.0     104.067730
  146  2018_02_12  14_58_52  1451.0     104.067260
  147  2018_02_12  14_59_02  1461.0     104.067430
  148  2018_02_12  14_59_12  1471.0     104.067700
  149  2018_02_12  14_59_22  1481.0     104.067930
  150  2018_02_12  14_59_32  1491.0     104.067730
  151  2018_02_12  14_59_42  1501.0     104.068280
  152  2018_02_12  14_59_52  1511.0     104.067840
  153  2018_02_12  15_00_02  1521.0     104.067840
  154  2018_02_12  15_00_12  1531.0     104.068050
  155  2018_02_12  15_00_22  1541.0     104.068050
  156  2018_02_12  15_00_32  1551.0     104.067930
  157  2018_02_12  15_00_42  1561.0     104.067840
  158  2018_02_12  15_00_52  1571.0     104.067930
  159  2018_02_12  15_01_02  1581.0     104.067990
  160  2018_02_12  15_01_12  1591.0     104.067550
  161  2018_02_12  15_01_22  1601.0     104.068020
  162  2018_02_12  15_01_32  1611.0     104.067780
  163  2018_02_12  15_01_42  1621.0     104.067750
  164  2018_02_12  15_01_52  1631.0     104.067400
  165  2018_02_12  15_02_02  1641.0     104.067670
  166  2018_02_12  15_02_12  1651.0     104.067520
  167  2018_02_12  15_02_22  1661.0     104.067430
  168  2018_02_12  15_02_32  1671.0     104.067460
  169  2018_02_12  15_02_42  1681.0     104.067580
  170  2018_02_12  15_02_52  1691.0     104.067550
  171  2018_02_12  15_03_02  1701.0     104.067110
  172  2018_02_12  15_03_12  1711.0     104.067200
  173  2018_02_12  15_03_22  1721.0     104.066960
  174  2018_02_12  15_03_32  1731.0     104.067430
  175  2018_02_12  15_03_42  1741.0     104.068020
  176  2018_02_12  15_03_52  1751.0     104.067230
  177  2018_02_12  15_04_02  1761.0     104.066810
  178  2018_02_12  15_04_12  1771.0     104.067340
  179  2018_02_12  15_04_22  1781.0     104.067460
  180  2018_02_12  15_04_32  1791.0     104.067370
  181  2018_02_12  15_04_42  1801.0     104.067730
  182  2018_02_12  15_04_52  1811.0     104.067780
  183  2018_02_12  15_05_02  1821.0     104.067400
  184  2018_02_12  15_05_12  1831.0     104.067340
  185  2018_02_12  15_05_22  1841.0     104.067200
  186  2018_02_12  15_05_32  1851.0     104.067080
  187  2018_02_12  15_05_42  1861.0     104.067460
  188  2018_02_12  15_05_52  1871.0     104.067610
  189  2018_02_12  15_06_02  1881.0     104.067230
  190  2018_02_12  15_06_12  1891.0     104.067520
  191  2018_02_12  15_06_22  1901.0     104.067200
  192  2018_02_12  15_06_32  1911.0     104.067050
  193  2018_02_12  15_06_42  1921.0     104.067490
  194  2018_02_12  15_06_52  1931.0     104.067520
  195  2018_02_12  15_07_02  1941.0     104.067460
  196  2018_02_12  15_07_12  1951.0     104.067430
  197  2018_02_12  15_07_22  1961.0     104.066990
  198  2018_02_12  15_07_32  1971.0     104.067110
  199  2018_02_12  15_07_42  1981.0     104.066960
  200  2018_02_12  15_07_52  1991.0     104.067280
  201  2018_02_12  15_08_02  2001.0     104.067170
  202  2018_02_12  15_08_12  2011.0     104.067080
  203  2018_02_12  15_08_22  2021.0     104.067310
  204  2018_02_12  15_08_32  2031.0     104.066930
  205  2018_02_12  15_08_42  2041.0     104.067170
  206  2018_02_12  15_08_52  2051.0     104.066840
  207  2018_02_12  15_09_02  2061.0     104.067310
  208  2018_02_12  15_09_12  2071.0     104.067460
  209  2018_02_12  15_09_22  2081.0     104.067520
  210  2018_02_12  15_09_32  2091.0     104.067280
  211  2018_02_12  15_09_42  2101.0     104.067140
  212  2018_02_12  15_09_52  2111.0     104.067200
  213  2018_02_12  15_10_02  2121.0     104.067230
  214  2018_02_12  15_10_12  2131.0     104.067230
  215  2018_02_12  15_10_22  2141.0     104.067170
  216  2018_02_12  15_10_32  2151.0     104.067170
  217  2018_02_12  15_10_42  2161.0     104.067020
  218  2018_02_12  15_10_52  2171.0     104.067260
  219  2018_02_12  15_11_02  2181.0     104.067370
  220  2018_02_12  15_11_12  2191.0     104.066960
  221  2018_02_12  15_11_22  2201.0     104.067610
