Pt.	Date	Time	RT/s	R/Omiga	
	1377	2018_02_13	20_41_33	13760	107.63678
	1378	2018_02_13	20_41_43	13770	107.63616
	1379	2018_02_13	20_41_53	13780	107.63666
	1380	2018_02_13	20_42_03	13790	107.63654
	1381	2018_02_13	20_42_13	13800	107.63634
	1382	2018_02_13	20_42_23	13810	107.63675
	1383	2018_02_13	20_42_33	13820	107.63692
	1384	2018_02_13	20_42_43	13830	107.63687
	1385	2018_02_13	20_42_53	13840	107.63701
	1386	2018_02_13	20_43_03	13850	107.6366
	1387	2018_02_13	20_43_13	13860	107.63666
	1388	2018_02_13	20_43_23	13870	107.63669
	1389	2018_02_13	20_43_33	13880	107.63731
	1390	2018_02_13	20_43_43	13890	107.6371
	1391	2018_02_13	20_43_53	13900	107.63687
	1392	2018_02_13	20_44_03	13910	107.63634
	1393	2018_02_13	20_44_13	13920	107.63692
	1394	2018_02_13	20_44_23	13930	107.63731
	1395	2018_02_13	20_44_33	13940	107.63713
	1396	2018_02_13	20_44_43	13950	107.63725
	1397	2018_02_13	20_44_53	13960	107.63695
	1398	2018_02_13	20_45_03	13970	107.63666
	1399	2018_02_13	20_45_13	13980	107.63725
	1400	2018_02_13	20_45_23	13990	107.63701
	1401	2018_02_13	20_45_33	14000	107.63695
	1402	2018_02_13	20_45_43	14010	107.63742
	1403	2018_02_13	20_45_53	14020	107.63701
	1404	2018_02_13	20_46_03	14030	107.63704
	1405	2018_02_13	20_46_13	14040	107.63742
	1406	2018_02_13	20_46_23	14050	107.63751
	1407	2018_02_13	20_46_33	14060	107.63748
	1408	2018_02_13	20_46_43	14070	107.63731
	1409	2018_02_13	20_46_53	14080	107.63725
	1410	2018_02_13	20_47_03	14090	107.63748
	1411	2018_02_13	20_47_13	14100	107.63775
	1412	2018_02_13	20_47_23	14110	107.63748
	1413	2018_02_13	20_47_33	14120	107.63737
	1414	2018_02_13	20_47_43	14130	107.63754
	1415	2018_02_13	20_47_53	14140	107.63769
	1416	2018_02_13	20_48_03	14150	107.63769
	1417	2018_02_13	20_48_13	14160	107.63775
	1418	2018_02_13	20_48_23	14170	107.63778
	1419	2018_02_13	20_48_33	14180	107.63751
	1420	2018_02_13	20_48_43	14190	107.63757
	1421	2018_02_13	20_48_53	14200	107.63763
	1422	2018_02_13	20_49_03	14210	107.63786
	1423	2018_02_13	20_49_13	14220	107.63737
	1424	2018_02_13	20_49_23	14230	107.63757
	1425	2018_02_13	20_49_33	14240	107.63754
	1426	2018_02_13	20_49_43	14250	107.63728
	1427	2018_02_13	20_49_53	14260	107.63754
	1428	2018_02_13	20_50_03	14270	107.63716
	1429	2018_02_13	20_50_13	14280	107.6376
	1430	2018_02_13	20_50_23	14290	107.63778
	1431	2018_02_13	20_50_33	14300	107.63739
	1432	2018_02_13	20_50_43	14310	107.63719
	1433	2018_02_13	20_50_53	14320	107.63778
	1434	2018_02_13	20_51_03	14330	107.63722
	1435	2018_02_13	20_51_13	14340	107.63725
	1436	2018_02_13	20_51_23	14350	107.63748
	1437	2018_02_13	20_51_33	14360	107.63766
	1438	2018_02_13	20_51_43	14370	107.63769
	1439	2018_02_13	20_51_53	14380	107.63772
	1440	2018_02_13	20_52_03	14390	107.63786
	1441	2018_02_13	20_52_13	14400	107.63795
	1442	2018_02_13	20_52_23	14410	107.63748
	1443	2018_02_13	20_52_33	14420	107.63766
	1444	2018_02_13	20_52_43	14430	107.63786
	1445	2018_02_13	20_52_53	14440	107.63772
	1446	2018_02_13	20_53_03	14450	107.63772
	1447	2018_02_13	20_53_13	14460	107.63748
	1448	2018_02_13	20_53_23	14470	107.63778
	1449	2018_02_13	20_53_33	14480	107.63781
	1450	2018_02_13	20_53_43	14490	107.63822
	1451	2018_02_13	20_53_53	14500	107.63769
	1452	2018_02_13	20_54_03	14510	107.63804
	1453	2018_02_13	20_54_13	14520	107.63807
	1454	2018_02_13	20_54_23	14530	107.63804
	1455	2018_02_13	20_54_33	14540	107.63792
	1456	2018_02_13	20_54_43	14550	107.63784
	1457	2018_02_13	20_54_53	14560	107.63763
	1458	2018_02_13	20_55_03	14570	107.63737
	1459	2018_02_13	20_55_13	14580	107.63692
	1460	2018_02_13	20_55_23	14590	107.63742
	1461	2018_02_13	20_55_33	14600	107.63725
	1462	2018_02_13	20_55_43	14610	107.63716
	1463	2018_02_13	20_55_53	14620	107.63672
	1464	2018_02_13	20_56_03	14630	107.63716
	1465	2018_02_13	20_56_13	14640	107.63716
	1466	2018_02_13	20_56_23	14650	107.63754
	1467	2018_02_13	20_56_33	14660	107.63713
	1468	2018_02_13	20_56_43	14670	107.63739
	1469	2018_02_13	20_56_53	14680	107.63672
	1470	2018_02_13	20_57_03	14690	107.63713
	1471	2018_02_13	20_57_13	14700	107.63728
	1472	2018_02_13	20_57_23	14710	107.63713
	1473	2018_02_13	20_57_33	14720	107.63695
	1474	2018_02_13	20_57_43	14730	107.63728
	1475	2018_02_13	20_57_53	14740	107.63734
	1476	2018_02_13	20_58_03	14750	107.63739
	1477	2018_02_13	20_58_13	14760	107.63775
	1478	2018_02_13	20_58_23	14770	107.63728
	1479	2018_02_13	20_58_33	14780	107.63784
	1480	2018_02_13	20_58_43	14790	107.63734
	1481	2018_02_13	20_58_53	14800	107.63695
	1482	2018_02_13	20_59_03	14810	107.63772
	1483	2018_02_13	20_59_13	14820	107.63737
	1484	2018_02_13	20_59_23	14830	107.63737
	1485	2018_02_13	20_59_33	14840	107.63769
	1486	2018_02_13	20_59_43	14850	107.63748
	1487	2018_02_13	20_59_53	14860	107.63731
	1488	2018_02_13	21_00_03	14870	107.63725
	1489	2018_02_13	21_00_13	14880	107.6376
	1490	2018_02_13	21_00_23	14890	107.63734
	1491	2018_02_13	21_00_33	14900	107.63695
	1492	2018_02_13	21_00_43	14910	107.63725
	1493	2018_02_13	21_00_53	14920	107.63681
	1494	2018_02_13	21_01_03	14930	107.63728
	1495	2018_02_13	21_01_13	14940	107.63663
	1496	2018_02_13	21_01_23	14950	107.6371
	1497	2018_02_13	21_01_33	14960	107.63698
	1498	2018_02_13	21_01_43	14970	107.63734
	1499	2018_02_13	21_01_53	14980	107.63728
	1500	2018_02_13	21_02_03	14990	107.63716
	1501	2018_02_13	21_02_13	15000	107.63716
	1502	2018_02_13	21_02_23	15010	107.6369
	1503	2018_02_13	21_02_33	15020	107.6369
	1504	2018_02_13	21_02_43	15030	107.63713
	1505	2018_02_13	21_02_53	15040	107.63701
	1506	2018_02_13	21_03_03	15050	107.63684
	1507	2018_02_13	21_03_13	15060	107.63698
	1508	2018_02_13	21_03_23	15070	107.63663
	1509	2018_02_13	21_03_33	15080	107.63657
	1510	2018_02_13	21_03_43	15090	107.63687
	1511	2018_02_13	21_03_53	15100	107.63719
	1512	2018_02_13	21_04_03	15110	107.63728
	1513	2018_02_13	21_04_13	15120	107.63722
	1514	2018_02_13	21_04_23	15130	107.63728
	1515	2018_02_13	21_04_33	15140	107.63751
	1516	2018_02_13	21_04_43	15150	107.63737
	1517	2018_02_13	21_04_53	15160	107.63722
	1518	2018_02_13	21_05_03	15170	107.63731
	1519	2018_02_13	21_05_13	15180	107.63716
	1520	2018_02_13	21_05_23	15190	107.63778
	1521	2018_02_13	21_05_33	15200	107.63775
	1522	2018_02_13	21_05_43	15210	107.63789
	1523	2018_02_13	21_05_53	15220	107.63804
	1524	2018_02_13	21_06_03	15230	107.63795
	1525	2018_02_13	21_06_13	15240	107.63754
	1526	2018_02_13	21_06_23	15250	107.63807
	1527	2018_02_13	21_06_33	15260	107.63801
	1528	2018_02_13	21_06_43	15270	107.6381
	1529	2018_02_13	21_06_53	15280	107.63807
	1530	2018_02_13	21_07_03	15290	107.63769
	1531	2018_02_13	21_07_13	15300	107.63819
	1532	2018_02_13	21_07_23	15310	107.63866
	1533	2018_02_13	21_07_33	15320	107.63842
	1534	2018_02_13	21_07_43	15330	107.6381
	1535	2018_02_13	21_07_53	15340	107.63819
	1536	2018_02_13	21_08_03	15350	107.63866
	1537	2018_02_13	21_08_13	15360	107.63848
	1538	2018_02_13	21_08_23	15370	107.63825
	1539	2018_02_13	21_08_33	15380	107.63857
	1540	2018_02_13	21_08_43	15390	107.63851
	1541	2018_02_13	21_08_53	15400	107.63854
	1542	2018_02_13	21_09_03	15410	107.63825
	1543	2018_02_13	21_09_13	15420	107.63875
	1544	2018_02_13	21_09_23	15430	107.63872
	1545	2018_02_13	21_09_33	15440	107.6386
	1546	2018_02_13	21_09_43	15450	107.63889
	1547	2018_02_13	21_09_53	15460	107.63857
	1548	2018_02_13	21_10_03	15470	107.63883
	1549	2018_02_13	21_10_13	15480	107.6386
	1550	2018_02_13	21_10_23	15490	107.63901
	1551	2018_02_13	21_10_33	15500	107.63875
	1552	2018_02_13	21_10_43	15510	107.63901
	1553	2018_02_13	21_10_53	15520	107.63907
	1554	2018_02_13	21_11_03	15530	107.63904
	1555	2018_02_13	21_11_13	15540	107.63963
	1556	2018_02_13	21_11_23	15550	107.63936
	1557	2018_02_13	21_11_33	15560	107.63945
	1558	2018_02_13	21_11_43	15570	107.63939
	1559	2018_02_13	21_11_53	15580	107.63936
	1560	2018_02_13	21_12_03	15590	107.63966
	1561	2018_02_13	21_12_13	15600	107.6396
	1562	2018_02_13	21_12_23	15610	107.63924
	1563	2018_02_13	21_12_33	15620	107.63916
	1564	2018_02_13	21_12_43	15630	107.63942
	1565	2018_02_13	21_12_53	15640	107.63927
	1566	2018_02_13	21_13_03	15650	107.63904
	1567	2018_02_13	21_13_13	15660	107.63904
	1568	2018_02_13	21_13_23	15670	107.63892
	1569	2018_02_13	21_13_33	15680	107.63933
	1570	2018_02_13	21_13_43	15690	107.63933
	1571	2018_02_13	21_13_53	15700	107.63939
	1572	2018_02_13	21_14_03	15710	107.63933
	1573	2018_02_13	21_14_13	15720	107.63992
	1574	2018_02_13	21_14_23	15730	107.63948
	1575	2018_02_13	21_14_33	15740	107.63989
	1576	2018_02_13	21_14_43	15750	107.6398
	1577	2018_02_13	21_14_53	15760	107.6401
	1578	2018_02_13	21_15_03	15770	107.64016
	1579	2018_02_13	21_15_13	15780	107.64021
	1580	2018_02_13	21_15_23	15790	107.63995
	1581	2018_02_13	21_15_33	15800	107.63983
	1582	2018_02_13	21_15_43	15810	107.6398
	1583	2018_02_13	21_15_53	15820	107.63977
	1584	2018_02_13	21_16_03	15830	107.63989
	1585	2018_02_13	21_16_13	15840	107.63948
	1586	2018_02_13	21_16_23	15850	107.64001
	1587	2018_02_13	21_16_33	15860	107.63971
	1588	2018_02_13	21_16_43	15870	107.63957
	1589	2018_02_13	21_16_53	15880	107.63989
	1590	2018_02_13	21_17_03	15890	107.63922
	1591	2018_02_13	21_17_13	15900	107.63927
	1592	2018_02_13	21_17_23	15910	107.63939
	1593	2018_02_13	21_17_33	15920	107.63907
	1594	2018_02_13	21_17_43	15930	107.63971
	1595	2018_02_13	21_17_53	15940	107.63942
	1596	2018_02_13	21_18_03	15950	107.63904
	1597	2018_02_13	21_18_13	15960	107.63945
	1598	2018_02_13	21_18_23	15970	107.63974
	1599	2018_02_13	21_18_33	15980	107.63963
	1600	2018_02_13	21_18_43	15990	107.63948
	1601	2018_02_13	21_18_53	16000	107.63951
	1602	2018_02_13	21_19_03	16010	107.63977
	1603	2018_02_13	21_19_13	16020	107.63977
	1604	2018_02_13	21_19_23	16030	107.63998
	1605	2018_02_13	21_19_33	16040	107.63966
	1606	2018_02_13	21_19_43	16050	107.63951
	1607	2018_02_13	21_19_53	16060	107.63939
	1608	2018_02_13	21_20_03	16070	107.63992
	1609	2018_02_13	21_20_13	16080	107.64001
	1610	2018_02_13	21_20_23	16090	107.64013
	1611	2018_02_13	21_20_33	16100	107.63995
	1612	2018_02_13	21_20_43	16110	107.63977
	1613	2018_02_13	21_20_53	16120	107.63995
	1614	2018_02_13	21_21_03	16130	107.63974
	1615	2018_02_13	21_21_13	16140	107.6403
	1616	2018_02_13	21_21_23	16150	107.63995
	1617	2018_02_13	21_21_33	16160	107.64033
	1618	2018_02_13	21_21_43	16170	107.63986
	1619	2018_02_13	21_21_53	16180	107.63971
	1620	2018_02_13	21_22_03	16190	107.63983
	1621	2018_02_13	21_22_13	16200	107.64007
	1622	2018_02_13	21_22_23	16210	107.64001
	1623	2018_02_13	21_22_33	16220	107.63989
	1624	2018_02_13	21_22_43	16230	107.63945
	1625	2018_02_13	21_22_53	16240	107.63927
	1626	2018_02_13	21_23_03	16250	107.63969
	1627	2018_02_13	21_23_13	16260	107.6401
	1628	2018_02_13	21_23_23	16270	107.64018
	1629	2018_02_13	21_23_33	16280	107.64013
	1630	2018_02_13	21_23_43	16290	107.64033
	1631	2018_02_13	21_23_53	16300	107.64004
	1632	2018_02_13	21_24_03	16310	107.64068
	1633	2018_02_13	21_24_13	16320	107.64071
	1634	2018_02_13	21_24_23	16330	107.64098
	1635	2018_02_13	21_24_33	16340	107.64042
	1636	2018_02_13	21_24_43	16350	107.64065
	1637	2018_02_13	21_24_53	16360	107.64083
	1638	2018_02_13	21_25_03	16370	107.6411
	1639	2018_02_13	21_25_13	16380	107.64077
	1640	2018_02_13	21_25_23	16390	107.64083
	1641	2018_02_13	21_25_33	16400	107.64074
	1642	2018_02_13	21_25_43	16410	107.64054
	1643	2018_02_13	21_25_53	16420	107.64104
	1644	2018_02_13	21_26_03	16430	107.64101
	1645	2018_02_13	21_26_13	16440	107.64089
	1646	2018_02_13	21_26_23	16450	107.64054
	1647	2018_02_13	21_26_33	16460	107.6406
	1648	2018_02_13	21_26_43	16470	107.6408
	1649	2018_02_13	21_26_53	16480	107.64077
	1650	2018_02_13	21_27_03	16490	107.64092
	1651	2018_02_13	21_27_13	16500	107.6408
	1652	2018_02_13	21_27_23	16510	107.64045
	1653	2018_02_13	21_27_33	16520	107.64054
	1654	2018_02_13	21_27_43	16530	107.64048
	1655	2018_02_13	21_27_53	16540	107.64048
	1656	2018_02_13	21_28_03	16550	107.64021
	1657	2018_02_13	21_28_13	16560	107.64024
	1658	2018_02_13	21_28_23	16570	107.64033
	1659	2018_02_13	21_28_33	16580	107.64036
	1660	2018_02_13	21_28_43	16590	107.64033
	1661	2018_02_13	21_28_53	16600	107.64057
	1662	2018_02_13	21_29_03	16610	107.64045
	1663	2018_02_13	21_29_13	16620	107.64065
	1664	2018_02_13	21_29_23	16630	107.64051
	1665	2018_02_13	21_29_33	16640	107.64051
	1666	2018_02_13	21_29_43	16650	107.64054
	1667	2018_02_13	21_29_53	16660	107.64013
	1668	2018_02_13	21_30_03	16670	107.64054
	1669	2018_02_13	21_30_13	16680	107.64057
	1670	2018_02_13	21_30_23	16690	107.64063
	1671	2018_02_13	21_30_33	16700	107.6403
	1672	2018_02_13	21_30_43	16710	107.64054
	1673	2018_02_13	21_30_53	16720	107.64042
	1674	2018_02_13	21_31_03	16730	107.64048
	1675	2018_02_13	21_31_13	16740	107.64033
	1676	2018_02_13	21_31_23	16750	107.64057
	1677	2018_02_13	21_31_33	16760	107.64065
	1678	2018_02_13	21_31_43	16770	107.64051
	1679	2018_02_13	21_31_53	16780	107.64024
	1680	2018_02_13	21_32_03	16790	107.64086
	1681	2018_02_13	21_32_13	16800	107.64018
	1682	2018_02_13	21_32_23	16810	107.64068
	1683	2018_02_13	21_32_33	16820	107.64039
	1684	2018_02_13	21_32_43	16830	107.64063
	1685	2018_02_13	21_32_53	16840	107.64086
	1686	2018_02_13	21_33_03	16850	107.64077
	1687	2018_02_13	21_33_13	16860	107.64063
	1688	2018_02_13	21_33_23	16870	107.64101
	1689	2018_02_13	21_33_33	16880	107.64086
	1690	2018_02_13	21_33_43	16890	107.64077
	1691	2018_02_13	21_33_53	16900	107.64065
	1692	2018_02_13	21_34_03	16910	107.64098
	1693	2018_02_13	21_34_13	16920	107.64115
	1694	2018_02_13	21_34_23	16930	107.64127
	1695	2018_02_13	21_34_33	16940	107.64089
	1696	2018_02_13	21_34_43	16950	107.64089
	1697	2018_02_13	21_34_53	16960	107.64095
	1698	2018_02_13	21_35_03	16970	107.64086
	1699	2018_02_13	21_35_13	16980	107.64098
	1700	2018_02_13	21_35_23	16990	107.64065
	1701	2018_02_13	21_35_33	17000	107.64048
	1702	2018_02_13	21_35_43	17010	107.64077
	1703	2018_02_13	21_35_53	17020	107.64115
	1704	2018_02_13	21_36_03	17030	107.64068
	1705	2018_02_13	21_36_13	17040	107.64051
	1706	2018_02_13	21_36_23	17050	107.6406
	1707	2018_02_13	21_36_33	17060	107.64036
	1708	2018_02_13	21_36_43	17070	107.64089
	1709	2018_02_13	21_36_53	17080	107.64063
	1710	2018_02_13	21_37_03	17090	107.64007
	1711	2018_02_13	21_37_13	17100	107.6403
	1712	2018_02_13	21_37_23	17110	107.63998
	1713	2018_02_13	21_37_33	17120	107.63995
	1714	2018_02_13	21_37_43	17130	107.64013
	1715	2018_02_13	21_37_53	17140	107.64033
	1716	2018_02_13	21_38_03	17150	107.6398
	1717	2018_02_13	21_38_13	17160	107.63974
	1718	2018_02_13	21_38_23	17170	107.6393
	1719	2018_02_13	21_38_33	17180	107.63957
	1720	2018_02_13	21_38_43	17190	107.63977
	1721	2018_02_13	21_38_53	17200	107.63971
	1722	2018_02_13	21_39_03	17210	107.64018
	1723	2018_02_13	21_39_13	17220	107.63966
	1724	2018_02_13	21_39_23	17230	107.63974
	1725	2018_02_13	21_39_33	17240	107.63969
	1726	2018_02_13	21_39_43	17250	107.63995
	1727	2018_02_13	21_39_53	17260	107.63977
	1728	2018_02_13	21_40_03	17270	107.64018
	1729	2018_02_13	21_40_13	17280	107.63945
	1730	2018_02_13	21_40_23	17290	107.63954
	1731	2018_02_13	21_40_33	17300	107.63992
	1732	2018_02_13	21_40_43	17310	107.63992
	1733	2018_02_13	21_40_53	17320	107.63969
	1734	2018_02_13	21_41_03	17330	107.63904
	1735	2018_02_13	21_41_13	17340	107.63974
	1736	2018_02_13	21_41_23	17350	107.63998
	1737	2018_02_13	21_41_33	17360	107.63986
	1738	2018_02_13	21_41_43	17370	107.63936
	1739	2018_02_13	21_41_53	17380	107.63963
	1740	2018_02_13	21_42_03	17390	107.63986
	1741	2018_02_13	21_42_13	17400	107.63998
	1742	2018_02_13	21_42_23	17410	107.64021
	1743	2018_02_13	21_42_33	17420	107.6403
	1744	2018_02_13	21_42_43	17430	107.64007
	1745	2018_02_13	21_42_53	17440	107.64048
	1746	2018_02_13	21_43_03	17450	107.64036
	1747	2018_02_13	21_43_13	17460	107.64024
	1748	2018_02_13	21_43_23	17470	107.64045
	1749	2018_02_13	21_43_33	17480	107.64024
	1750	2018_02_13	21_43_43	17490	107.64036
	1751	2018_02_13	21_43_53	17500	107.64057
	1752	2018_02_13	21_44_03	17510	107.64071
	1753	2018_02_13	21_44_13	17520	107.64054
	1754	2018_02_13	21_44_23	17530	107.6411
	1755	2018_02_13	21_44_33	17540	107.64077
	1756	2018_02_13	21_44_43	17550	107.64074
	1757	2018_02_13	21_44_53	17560	107.64068
	1758	2018_02_13	21_45_03	17570	107.6406
	1759	2018_02_13	21_45_13	17580	107.64086
	1760	2018_02_13	21_45_23	17590	107.64101
	1761	2018_02_13	21_45_33	17600	107.6408
	1762	2018_02_13	21_45_43	17610	107.64098
	1763	2018_02_13	21_45_53	17620	107.64024
	1764	2018_02_13	21_46_03	17630	107.64068
	1765	2018_02_13	21_46_13	17640	107.64089
	1766	2018_02_13	21_46_23	17650	107.64057
	1767	2018_02_13	21_46_33	17660	107.64051
	1768	2018_02_13	21_46_43	17670	107.64048
	1769	2018_02_13	21_46_53	17680	107.64071
	1770	2018_02_13	21_47_03	17690	107.64127
	1771	2018_02_13	21_47_13	17700	107.64104
	1772	2018_02_13	21_47_23	17710	107.6408
	1773	2018_02_13	21_47_33	17720	107.6413
	1774	2018_02_13	21_47_43	17730	107.64118
	1775	2018_02_13	21_47_53	17740	107.64095
	1776	2018_02_13	21_48_03	17750	107.64115
	1777	2018_02_13	21_48_13	17760	107.64104
	1778	2018_02_13	21_48_23	17770	107.64057
	1779	2018_02_13	21_48_33	17780	107.64098
	1780	2018_02_13	21_48_43	17790	107.64077
	1781	2018_02_13	21_48_53	17800	107.64083
	1782	2018_02_13	21_49_03	17810	107.6406
	1783	2018_02_13	21_49_13	17820	107.64068
	1784	2018_02_13	21_49_23	17830	107.64068
	1785	2018_02_13	21_49_33	17840	107.64083
	1786	2018_02_13	21_49_43	17850	107.64036
	1787	2018_02_13	21_49_53	17860	107.64083
	1788	2018_02_13	21_50_03	17870	107.64089
	1789	2018_02_13	21_50_13	17880	107.64077
	1790	2018_02_13	21_50_23	17890	107.64071
	1791	2018_02_13	21_50_33	17900	107.64027
	1792	2018_02_13	21_50_43	17910	107.64083
	1793	2018_02_13	21_50_53	17920	107.6408
	1794	2018_02_13	21_51_03	17930	107.64018
	1795	2018_02_13	21_51_13	17940	107.63995
	1796	2018_02_13	21_51_23	17950	107.64048
	1797	2018_02_13	21_51_33	17960	107.64051
	1798	2018_02_13	21_51_43	17970	107.64027
	1799	2018_02_13	21_51_53	17980	107.64007
	1800	2018_02_13	21_52_03	17990	107.64045
	1801	2018_02_13	21_52_13	18000	107.64018
	1802	2018_02_13	21_52_23	18010	107.6403
	1803	2018_02_13	21_52_33	18020	107.64018
	1804	2018_02_13	21_52_43	18030	107.6403
	1805	2018_02_13	21_52_53	18040	107.63998
	1806	2018_02_13	21_53_03	18050	107.63974
	1807	2018_02_13	21_53_13	18060	107.63995
	1808	2018_02_13	21_53_23	18070	107.64045
	1809	2018_02_13	21_53_33	18080	107.63995
	1810	2018_02_13	21_53_43	18090	107.64024
	1811	2018_02_13	21_53_53	18100	107.63971
	1812	2018_02_13	21_54_03	18110	107.64033
	1813	2018_02_13	21_54_13	18120	107.64016
	1814	2018_02_13	21_54_23	18130	107.64042
	1815	2018_02_13	21_54_33	18140	107.64054
	1816	2018_02_13	21_54_43	18150	107.64039
	1817	2018_02_13	21_54_53	18160	107.63992
	1818	2018_02_13	21_55_03	18170	107.64027
	1819	2018_02_13	21_55_13	18180	107.64007
	1820	2018_02_13	21_55_23	18190	107.64057
	1821	2018_02_13	21_55_33	18200	107.64004
	1822	2018_02_13	21_55_43	18210	107.63992
	1823	2018_02_13	21_55_53	18220	107.63974
	1824	2018_02_13	21_56_03	18230	107.64001
	1825	2018_02_13	21_56_13	18240	107.63989
	1826	2018_02_13	21_56_23	18250	107.63974
	1827	2018_02_13	21_56_33	18260	107.63966
	1828	2018_02_13	21_56_43	18270	107.63989
	1829	2018_02_13	21_56_53	18280	107.64013
	1830	2018_02_13	21_57_03	18290	107.63992
	1831	2018_02_13	21_57_13	18300	107.63992
	1832	2018_02_13	21_57_23	18310	107.63951
	1833	2018_02_13	21_57_33	18320	107.63986
	1834	2018_02_13	21_57_43	18330	107.63983
	1835	2018_02_13	21_57_53	18340	107.64013
	1836	2018_02_13	21_58_03	18350	107.64027
	1837	2018_02_13	21_58_13	18360	107.64024
	1838	2018_02_13	21_58_23	18370	107.64013
	1839	2018_02_13	21_58_33	18380	107.64065
	1840	2018_02_13	21_58_43	18390	107.64007
	1841	2018_02_13	21_58_53	18400	107.64007
	1842	2018_02_13	21_59_03	18410	107.64027
	1843	2018_02_13	21_59_13	18420	107.64065
	1844	2018_02_13	21_59_23	18430	107.6401
	1845	2018_02_13	21_59_33	18440	107.64007
	1846	2018_02_13	21_59_43	18450	107.64065
	1847	2018_02_13	21_59_53	18460	107.64068
	1848	2018_02_13	22_00_03	18470	107.64033
	1849	2018_02_13	22_00_13	18480	107.64063
	1850	2018_02_13	22_00_23	18490	107.64018
	1851	2018_02_13	22_00_33	18500	107.64068
	1852	2018_02_13	22_00_43	18510	107.64039
	1853	2018_02_13	22_00_53	18520	107.6403
	1854	2018_02_13	22_01_03	18530	107.64036
	1855	2018_02_13	22_01_13	18540	107.64074
	1856	2018_02_13	22_01_23	18550	107.64051
	1857	2018_02_13	22_01_33	18560	107.64033
	1858	2018_02_13	22_01_43	18570	107.64063
	1859	2018_02_13	22_01_53	18580	107.64033
	1860	2018_02_13	22_02_03	18590	107.64039
	1861	2018_02_13	22_02_13	18600	107.63986
	1862	2018_02_13	22_02_23	18610	107.64021
	1863	2018_02_13	22_02_33	18620	107.63998
	1864	2018_02_13	22_02_43	18630	107.64051
	1865	2018_02_13	22_02_53	18640	107.63998
	1866	2018_02_13	22_03_03	18650	107.64018
	1867	2018_02_13	22_03_13	18660	107.64004
	1868	2018_02_13	22_03_23	18670	107.63966
	1869	2018_02_13	22_03_33	18680	107.63986
	1870	2018_02_13	22_03_43	18690	107.63977
	1871	2018_02_13	22_03_53	18700	107.63933
	1872	2018_02_13	22_04_03	18710	107.63942
	1873	2018_02_13	22_04_13	18720	107.63945
	1874	2018_02_13	22_04_23	18730	107.63927
	1875	2018_02_13	22_04_33	18740	107.63942
	1876	2018_02_13	22_04_43	18750	107.6396
	1877	2018_02_13	22_04_53	18760	107.63951
	1878	2018_02_13	22_05_03	18770	107.6393
	1879	2018_02_13	22_05_13	18780	107.63969
	1880	2018_02_13	22_05_23	18790	107.63942
	1881	2018_02_13	22_05_33	18800	107.63971
	1882	2018_02_13	22_05_43	18810	107.6393
	1883	2018_02_13	22_05_53	18820	107.63963
	1884	2018_02_13	22_06_03	18830	107.63998
	1885	2018_02_13	22_06_13	18840	107.63992
	1886	2018_02_13	22_06_23	18850	107.64018
	1887	2018_02_13	22_06_33	18860	107.63995
	1888	2018_02_13	22_06_43	18870	107.64039
	1889	2018_02_13	22_06_53	18880	107.64036
	1890	2018_02_13	22_07_03	18890	107.6403
	1891	2018_02_13	22_07_13	18900	107.64042
	1892	2018_02_13	22_07_23	18910	107.64021
	1893	2018_02_13	22_07_33	18920	107.64018
	1894	2018_02_13	22_07_43	18930	107.6401
	1895	2018_02_13	22_07_53	18940	107.63977
	1896	2018_02_13	22_08_03	18950	107.64024
	1897	2018_02_13	22_08_13	18960	107.64033
	1898	2018_02_13	22_08_23	18970	107.64013
	1899	2018_02_13	22_08_33	18980	107.64018
	1900	2018_02_13	22_08_43	18990	107.64004
	1901	2018_02_13	22_08_53	19000	107.64004
	1902	2018_02_13	22_09_03	19010	107.63971
	1903	2018_02_13	22_09_13	19020	107.6398
	1904	2018_02_13	22_09_23	19030	107.63983
	1905	2018_02_13	22_09_33	19040	107.64021
	1906	2018_02_13	22_09_43	19050	107.64021
	1907	2018_02_13	22_09_53	19060	107.64016
	1908	2018_02_13	22_10_03	19070	107.64042
	1909	2018_02_13	22_10_13	19080	107.64068
	1910	2018_02_13	22_10_23	19090	107.64074
	1911	2018_02_13	22_10_33	19100	107.64083
	1912	2018_02_13	22_10_43	19110	107.6408
	1913	2018_02_13	22_10_53	19120	107.64115
	1914	2018_02_13	22_11_03	19130	107.64104
	1915	2018_02_13	22_11_13	19140	107.64101
	1916	2018_02_13	22_11_23	19150	107.6413
	1917	2018_02_13	22_11_33	19160	107.64154
	1918	2018_02_13	22_11_43	19170	107.64133
	1919	2018_02_13	22_11_53	19180	107.64162
	1920	2018_02_13	22_12_03	19190	107.6418
	1921	2018_02_13	22_12_13	19200	107.64168
	1922	2018_02_13	22_12_23	19210	107.64183
	1923	2018_02_13	22_12_33	19220	107.64139
	1924	2018_02_13	22_12_43	19230	107.64171
	1925	2018_02_13	22_12_53	19240	107.6413
	1926	2018_02_13	22_13_03	19250	107.64148
	1927	2018_02_13	22_13_13	19260	107.64165
	1928	2018_02_13	22_13_23	19270	107.64151
	1929	2018_02_13	22_13_33	19280	107.6418
	1930	2018_02_13	22_13_43	19290	107.64198
	1931	2018_02_13	22_13_53	19300	107.64142
	1932	2018_02_13	22_14_03	19310	107.64145
	1933	2018_02_13	22_14_13	19320	107.64165
	1934	2018_02_13	22_14_23	19330	107.64159
	1935	2018_02_13	22_14_33	19340	107.64142
