Pt.	Date	Time	RT/s	R/Omiga	
	120	2018_02_13	17_12_03	1190	106.99863
	121	2018_02_13	17_12_13	1200	107.00659
	122	2018_02_13	17_12_23	1210	107.01422
	123	2018_02_13	17_12_33	1220	107.02256
	124	2018_02_13	17_12_43	1230	107.03023
	125	2018_02_13	17_12_53	1240	107.03775
	126	2018_02_13	17_13_03	1250	107.04526
	127	2018_02_13	17_13_13	1260	107.05331
	128	2018_02_13	17_13_23	1270	107.06027
	129	2018_02_13	17_13_33	1280	107.06697
	130	2018_02_13	17_13_43	1290	107.07484
	131	2018_02_13	17_13_53	1300	107.08206
	132	2018_02_13	17_14_03	1310	107.08882
	133	2018_02_13	17_14_13	1320	107.09554
	134	2018_02_13	17_14_23	1330	107.1025
	135	2018_02_13	17_14_33	1340	107.10908
	136	2018_02_13	17_14_43	1350	107.11616
	137	2018_02_13	17_14_53	1360	107.12271
	138	2018_02_13	17_15_03	1370	107.12894
	139	2018_02_13	17_15_13	1380	107.1351
	140	2018_02_13	17_15_23	1390	107.14142
	141	2018_02_13	17_15_33	1400	107.14838
	142	2018_02_13	17_15_43	1410	107.15422
	143	2018_02_13	17_15_53	1420	107.16013
	144	2018_02_13	17_16_03	1430	107.1657
	145	2018_02_13	17_16_13	1440	107.17181
	146	2018_02_13	17_16_23	1450	107.17816
	147	2018_02_13	17_16_33	1460	107.18338
	148	2018_02_13	17_16_43	1470	107.18899
	149	2018_02_13	17_16_53	1480	107.19466
	150	2018_02_13	17_17_03	1490	107.20001
	151	2018_02_13	17_17_13	1500	107.20559
	152	2018_02_13	17_17_23	1510	107.21064
	153	2018_02_13	17_17_33	1520	107.21604
	154	2018_02_13	17_17_43	1530	107.22065
	155	2018_02_13	17_17_53	1540	107.22618
	156	2018_02_13	17_18_03	1550	107.23111
	157	2018_02_13	17_18_13	1560	107.23581
	158	2018_02_13	17_18_23	1570	107.24083
	159	2018_02_13	17_18_33	1580	107.24579
	160	2018_02_13	17_18_43	1590	107.25102
	161	2018_02_13	17_18_53	1600	107.2549
	162	2018_02_13	17_19_03	1610	107.25971
	163	2018_02_13	17_19_13	1620	107.26444
	164	2018_02_13	17_19_23	1630	107.26879
	165	2018_02_13	17_19_33	1640	107.27355
	166	2018_02_13	17_19_43	1650	107.27739
	167	2018_02_13	17_19_53	1660	107.28209
	168	2018_02_13	17_20_03	1670	107.28629
	169	2018_02_13	17_20_13	1680	107.29049
	170	2018_02_13	17_20_23	1690	107.29484
	171	2018_02_13	17_20_33	1700	107.29889
	172	2018_02_13	17_20_43	1710	107.30289
	173	2018_02_13	17_20_53	1720	107.30723
	174	2018_02_13	17_21_03	1730	107.31058
	175	2018_02_13	17_21_13	1740	107.31502
	176	2018_02_13	17_21_23	1750	107.31889
	177	2018_02_13	17_21_33	1760	107.32268
	178	2018_02_13	17_21_43	1770	107.32656
	179	2018_02_13	17_21_53	1780	107.33035
	180	2018_02_13	17_22_03	1790	107.3341
	181	2018_02_13	17_22_13	1800	107.33825
	182	2018_02_13	17_22_23	1810	107.34215
	183	2018_02_13	17_22_33	1820	107.34485
	184	2018_02_13	17_22_43	1830	107.34835
	185	2018_02_13	17_22_53	1840	107.35205
	186	2018_02_13	17_23_03	1850	107.35581
