Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_02_13  09_31_27     0.0     104.051840
    2  2018_02_13  09_31_37    10.0     104.052890
    3  2018_02_13  09_31_47    20.0     104.052920
    4  2018_02_13  09_31_57    30.0     104.053220
    5  2018_02_13  09_32_07    40.0     104.052950
    6  2018_02_13  09_32_17    50.0     104.053250
    7  2018_02_13  09_32_27    60.0     104.053390
    8  2018_02_13  09_32_37    70.0     104.053630
    9  2018_02_13  09_32_47    80.0     104.053010
   10  2018_02_13  09_32_57    90.0     104.053690
   11  2018_02_13  09_33_07   100.0     104.053330
   12  2018_02_13  09_33_17   110.0     104.053480
   13  2018_02_13  09_33_27   120.0     104.053250
   14  2018_02_13  09_33_37   130.0     104.053360
   15  2018_02_13  09_33_47   140.0     104.053390
   16  2018_02_13  09_33_57   150.0     104.053750
   17  2018_02_13  09_34_07   160.0     104.053220
   18  2018_02_13  09_34_17   170.0     104.053330
   19  2018_02_13  09_34_27   180.0     104.053250
   20  2018_02_13  09_34_37   190.0     104.052950
   21  2018_02_13  09_34_47   200.0     104.053420
   22  2018_02_13  09_34_57   210.0     104.053660
   23  2018_02_13  09_35_07   220.0     104.053480
   24  2018_02_13  09_35_17   230.0     104.053720
   25  2018_02_13  09_35_27   240.0     104.053450
   26  2018_02_13  09_35_37   250.0     104.053600
   27  2018_02_13  09_35_47   260.0     104.053720
   28  2018_02_13  09_35_57   270.0     104.053280
   29  2018_02_13  09_36_07   280.0     104.053660
   30  2018_02_13  09_36_17   290.0     104.053510
   31  2018_02_13  09_36_27   300.0     104.053540
   32  2018_02_13  09_36_37   310.0     104.053360
   33  2018_02_13  09_36_47   320.0     104.053720
   34  2018_02_13  09_36_57   330.0     104.053950
   35  2018_02_13  09_37_07   340.0     104.053720
   36  2018_02_13  09_37_17   350.0     104.053780
   37  2018_02_13  09_37_27   360.0     104.053600
   38  2018_02_13  09_37_37   370.0     104.054330
   39  2018_02_13  09_37_47   380.0     104.053630
   40  2018_02_13  09_37_57   390.0     104.053780
   41  2018_02_13  09_38_07   400.0     104.053920
   42  2018_02_13  09_38_17   410.0     104.053630
   43  2018_02_13  09_38_27   420.0     104.053860
   44  2018_02_13  09_38_37   430.0     104.053860
   45  2018_02_13  09_38_47   440.0     104.054220
   46  2018_02_13  09_38_57   450.0     104.054220
   47  2018_02_13  09_39_07   460.0     104.053980
   48  2018_02_13  09_39_17   470.0     104.054190
   49  2018_02_13  09_39_27   480.0     104.054270
   50  2018_02_13  09_39_37   490.0     104.054160
   51  2018_02_13  09_39_47   500.0     104.054010
   52  2018_02_13  09_39_57   510.0     104.054160
   53  2018_02_13  09_40_07   520.0     104.054390
   54  2018_02_13  09_40_17   530.0     104.054660
   55  2018_02_13  09_40_27   540.0     104.053980
   56  2018_02_13  09_40_37   550.0     104.054480
   57  2018_02_13  09_40_47   560.0     104.053860
   58  2018_02_13  09_40_57   570.0     104.054190
   59  2018_02_13  09_41_07   580.0     104.054630
   60  2018_02_13  09_41_17   590.0     104.054480
   61  2018_02_13  09_41_27   600.0     104.054540
   62  2018_02_13  09_41_37   610.0     104.054600
   63  2018_02_13  09_41_47   620.0     104.054860
   64  2018_02_13  09_41_57   630.0     104.054480
   65  2018_02_13  09_42_07   640.0     104.054510
   66  2018_02_13  09_42_17   650.0     104.054770
   67  2018_02_13  09_42_27   660.0     104.054890
   68  2018_02_13  09_42_37   670.0     104.054770
   69  2018_02_13  09_42_47   680.0     104.055070
   70  2018_02_13  09_42_57   690.0     104.055070
   71  2018_02_13  09_43_07   700.0     104.055100
   72  2018_02_13  09_43_17   710.0     104.054630
   73  2018_02_13  09_43_27   720.0     104.054890
   74  2018_02_13  09_43_37   730.0     104.054950
   75  2018_02_13  09_43_47   740.0     104.055510
   76  2018_02_13  09_43_57   750.0     104.054950
   77  2018_02_13  09_44_07   760.0     104.054770
   78  2018_02_13  09_44_17   770.0     104.054860
   79  2018_02_13  09_44_27   780.0     104.055040
   80  2018_02_13  09_44_37   790.0     104.055160
   81  2018_02_13  09_44_47   800.0     104.055040
   82  2018_02_13  09_44_57   810.0     104.055390
   83  2018_02_13  09_45_07   820.0     104.055270
   84  2018_02_13  09_45_17   830.0     104.055420
   85  2018_02_13  09_45_27   840.0     104.055480
   86  2018_02_13  09_45_37   850.0     104.055680
   87  2018_02_13  09_45_47   860.0     104.055420
   88  2018_02_13  09_45_57   870.0     104.055600
   89  2018_02_13  09_46_07   880.0     104.055270
   90  2018_02_13  09_46_17   890.0     104.055480
   91  2018_02_13  09_46_27   900.0     104.054980
   92  2018_02_13  09_46_37   910.0     104.055130
   93  2018_02_13  09_46_47   920.0     104.055450
   94  2018_02_13  09_46_57   930.0     104.055680
   95  2018_02_13  09_47_07   940.0     104.055070
   96  2018_02_13  09_47_17   950.0     104.055300
   97  2018_02_13  09_47_27   960.0     104.055630
   98  2018_02_13  09_47_37   970.0     104.055300
   99  2018_02_13  09_47_47   980.0     104.054890
  100  2018_02_13  09_47_57   990.0     104.055630
  101  2018_02_13  09_48_07  1000.0     104.055040
  102  2018_02_13  09_48_17  1010.0     104.055240
  103  2018_02_13  09_48_27  1020.0     104.055540
  104  2018_02_13  09_48_37  1030.0     104.055480
  105  2018_02_13  09_48_47  1040.0     104.055650
  106  2018_02_13  09_48_57  1050.0     104.056010
  107  2018_02_13  09_49_07  1060.0     104.055680
  108  2018_02_13  09_49_17  1070.0     104.055710
  109  2018_02_13  09_49_27  1080.0     104.055830
  110  2018_02_13  09_49_37  1090.0     104.055770
  111  2018_02_13  09_49_47  1100.0     104.055920
  112  2018_02_13  09_49_57  1110.0     104.055630
  113  2018_02_13  09_50_07  1120.0     104.056070
  114  2018_02_13  09_50_17  1130.0     104.056010
  115  2018_02_13  09_50_27  1140.0     104.056150
  116  2018_02_13  09_50_37  1150.0     104.056180
  117  2018_02_13  09_50_47  1160.0     104.055570
  118  2018_02_13  09_50_57  1170.0     104.055950
  119  2018_02_13  09_51_07  1180.0     104.056210
  120  2018_02_13  09_51_17  1190.0     104.056010
  121  2018_02_13  09_51_27  1200.0     104.056480
  122  2018_02_13  09_51_37  1210.0     104.055980
  123  2018_02_13  09_51_47  1220.0     104.055920
  124  2018_02_13  09_51_57  1230.0     104.055830
  125  2018_02_13  09_52_07  1240.0     104.056270
  126  2018_02_13  09_52_17  1250.0     104.056210
  127  2018_02_13  09_52_27  1260.0     104.056180
  128  2018_02_13  09_52_37  1270.0     104.055630
  129  2018_02_13  09_52_47  1280.0     104.056100
  130  2018_02_13  09_52_57  1290.0     104.055950
  131  2018_02_13  09_53_07  1300.0     104.056010
  132  2018_02_13  09_53_17  1310.0     104.056100
  133  2018_02_13  09_53_27  1320.0     104.056070
  134  2018_02_13  09_53_37  1330.0     104.056040
  135  2018_02_13  09_53_47  1340.0     104.055890
  136  2018_02_13  09_53_57  1350.0     104.055710
  137  2018_02_13  09_54_07  1360.0     104.055920
  138  2018_02_13  09_54_17  1370.0     104.056210
  139  2018_02_13  09_54_27  1380.0     104.056010
  140  2018_02_13  09_54_37  1390.0     104.056510
  141  2018_02_13  09_54_47  1400.0     104.056270
  142  2018_02_13  09_54_57  1410.0     104.056420
  143  2018_02_13  09_55_07  1420.0     104.056210
  144  2018_02_13  09_55_17  1430.0     104.056270
  145  2018_02_13  09_55_27  1440.0     104.056150
  146  2018_02_13  09_55_37  1450.0     104.056510
  147  2018_02_13  09_55_47  1460.0     104.056570
  148  2018_02_13  09_55_57  1470.0     104.056650
  149  2018_02_13  09_56_07  1480.0     104.056570
  150  2018_02_13  09_56_17  1490.0     104.056570
  151  2018_02_13  09_56_27  1500.0     104.056450
  152  2018_02_13  09_56_37  1510.0     104.056950
  153  2018_02_13  09_56_47  1520.0     104.056390
  154  2018_02_13  09_56_57  1530.0     104.056710
  155  2018_02_13  09_57_07  1540.0     104.056770
  156  2018_02_13  09_57_17  1550.0     104.056680
  157  2018_02_13  09_57_27  1560.0     104.056120
  158  2018_02_13  09_57_37  1570.0     104.056650
  159  2018_02_13  09_57_47  1580.0     104.056590
  160  2018_02_13  09_57_57  1590.0     104.056480
  161  2018_02_13  09_58_07  1600.0     104.056770
  162  2018_02_13  09_58_17  1610.0     104.056420
  163  2018_02_13  09_58_27  1620.0     104.056620
  164  2018_02_13  09_58_37  1630.0     104.056150
  165  2018_02_13  09_58_47  1640.0     104.056360
  166  2018_02_13  09_58_57  1650.0     104.056330
  167  2018_02_13  09_59_07  1660.0     104.056390
  168  2018_02_13  09_59_17  1670.0     104.056040
  169  2018_02_13  09_59_27  1680.0     104.055980
  170  2018_02_13  09_59_37  1690.0     104.056680
  171  2018_02_13  09_59_47  1700.0     104.055980
  172  2018_02_13  09_59_57  1710.0     104.056480
  173  2018_02_13  10_00_07  1720.0     104.056010
  174  2018_02_13  10_00_17  1730.0     104.056330
  175  2018_02_13  10_00_27  1740.0     104.055980
  176  2018_02_13  10_00_37  1750.0     104.056040
  177  2018_02_13  10_00_47  1760.0     104.056390
  178  2018_02_13  10_00_57  1770.0     104.056450
  179  2018_02_13  10_01_07  1780.0     104.056100
  180  2018_02_13  10_01_17  1790.0     104.055980
  181  2018_02_13  10_01_27  1800.0     104.056270
  182  2018_02_13  10_01_37  1810.0     104.056010
  183  2018_02_13  10_01_47  1820.0     104.055950
  184  2018_02_13  10_01_57  1830.0     104.056360
  185  2018_02_13  10_02_07  1840.0     104.056040
  186  2018_02_13  10_02_17  1850.0     104.056360
  187  2018_02_13  10_02_27  1860.0     104.056620
  188  2018_02_13  10_02_37  1870.0     104.056100
  189  2018_02_13  10_02_47  1880.0     104.056240
  190  2018_02_13  10_02_57  1890.0     104.055950
  191  2018_02_13  10_03_07  1900.0     104.056480
  192  2018_02_13  10_03_17  1910.0     104.056450
  193  2018_02_13  10_03_27  1920.0     104.056070
  194  2018_02_13  10_03_37  1930.0     104.055680
  195  2018_02_13  10_03_47  1940.0     104.055920
  196  2018_02_13  10_03_57  1950.0     104.056390
  197  2018_02_13  10_04_07  1960.0     104.056360
  198  2018_02_13  10_04_17  1970.0     104.056070
  199  2018_02_13  10_04_27  1980.0     104.056210
  200  2018_02_13  10_04_37  1990.0     104.056070
  201  2018_02_13  10_04_47  2000.0     104.056540
  202  2018_02_13  10_04_57  2010.0     104.056040
  203  2018_02_13  10_05_07  2020.0     104.056590
  204  2018_02_13  10_05_17  2030.0     104.056270
  205  2018_02_13  10_05_27  2040.0     104.056590
  206  2018_02_13  10_05_37  2050.0     104.056210
  207  2018_02_13  10_05_47  2060.0     104.056420
  208  2018_02_13  10_05_57  2070.0     104.056450
  209  2018_02_13  10_06_07  2080.0     104.056330
  210  2018_02_13  10_06_17  2090.0     104.056480
  211  2018_02_13  10_06_27  2100.0     104.056390
  212  2018_02_13  10_06_37  2110.0     104.056300
  213  2018_02_13  10_06_47  2120.0     104.056070
  214  2018_02_13  10_06_57  2130.0     104.056450
