Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_02_21  09_23_09     1.0     134.633800
    2  2018_02_21  09_23_19    11.0     134.633600
    3  2018_02_21  09_23_29    21.0     134.634100
    4  2018_02_21  09_23_39    31.0     134.634400
    5  2018_02_21  09_23_49    41.0     134.634400
    6  2018_02_21  09_23_59    51.0     134.634100
    7  2018_02_21  09_24_09    61.0     134.634100
    8  2018_02_21  09_24_19    71.0     134.634400
    9  2018_02_21  09_24_29    81.0     134.634100
   10  2018_02_21  09_24_39    91.0     134.633800
   11  2018_02_21  09_24_49   101.0     134.633600
   12  2018_02_21  09_24_59   111.0     134.634100
   13  2018_02_21  09_25_09   121.0     134.633300
   14  2018_02_21  09_25_19   131.0     134.633800
   15  2018_02_21  09_25_29   141.0     134.634400
   16  2018_02_21  09_25_39   151.0     134.633800
   17  2018_02_21  09_25_49   161.0     134.634400
   18  2018_02_21  09_25_59   171.0     134.633600
   19  2018_02_21  09_26_09   181.0     134.633600
   20  2018_02_21  09_26_19   191.0     134.632400
   21  2018_02_21  09_26_29   201.0     134.633600
   22  2018_02_21  09_26_39   211.0     134.633800
   23  2018_02_21  09_26_49   221.0     134.633300
   24  2018_02_21  09_26_59   231.0     134.633300
   25  2018_02_21  09_27_09   241.0     134.633800
   26  2018_02_21  09_27_19   251.0     134.633600
   27  2018_02_21  09_27_29   261.0     134.632400
   28  2018_02_21  09_27_39   271.0     134.633000
   29  2018_02_21  09_27_49   281.0     134.632100
   30  2018_02_21  09_27_59   291.0     134.632100
   31  2018_02_21  09_28_09   301.0     134.632400
   32  2018_02_21  09_28_19   311.0     134.632100
   33  2018_02_21  09_28_29   321.0     134.632100
   34  2018_02_21  09_28_39   331.0     134.631500
   35  2018_02_21  09_28_49   341.0     134.632400
   36  2018_02_21  09_28_59   351.0     134.631500
   37  2018_02_21  09_29_09   361.0     134.631200
   38  2018_02_21  09_29_19   371.0     134.631500
   39  2018_02_21  09_29_29   381.0     134.631200
   40  2018_02_21  09_29_39   391.0     134.630900
   41  2018_02_21  09_29_49   401.0     134.631500
   42  2018_02_21  09_29_59   411.0     134.631200
   43  2018_02_21  09_30_09   421.0     134.631500
   44  2018_02_21  09_30_19   431.0     134.631200
   45  2018_02_21  09_30_29   441.0     134.631200
   46  2018_02_21  09_30_39   451.0     134.631500
   47  2018_02_21  09_30_49   461.0     134.631200
   48  2018_02_21  09_30_59   471.0     134.630900
   49  2018_02_21  09_31_09   481.0     134.630600
   50  2018_02_21  09_31_19   491.0     134.631200
   51  2018_02_21  09_31_29   501.0     134.631500
   52  2018_02_21  09_31_39   511.0     134.631200
   53  2018_02_21  09_31_49   521.0     134.630900
   54  2018_02_21  09_31_59   531.0     134.630600
   55  2018_02_21  09_32_09   541.0     134.631500
   56  2018_02_21  09_32_19   551.0     134.631800
   57  2018_02_21  09_32_29   561.0     134.631200
   58  2018_02_21  09_32_39   571.0     134.630900
   59  2018_02_21  09_32_49   581.0     134.632100
   60  2018_02_21  09_32_59   591.0     134.631200
   61  2018_02_21  09_33_09   601.0     134.631200
   62  2018_02_21  09_33_19   611.0     134.630900
   63  2018_02_21  09_33_29   621.0     134.632100
   64  2018_02_21  09_33_39   631.0     134.632100
   65  2018_02_21  09_33_49   641.0     134.632700
   66  2018_02_21  09_33_59   651.0     134.630900
   67  2018_02_21  09_34_09   661.0     134.631200
   68  2018_02_21  09_34_19   671.0     134.631200
   69  2018_02_21  09_34_29   681.0     134.631500
   70  2018_02_21  09_34_39   691.0     134.632100
   71  2018_02_21  09_34_49   701.0     134.631200
   72  2018_02_21  09_34_59   711.0     134.632100
   73  2018_02_21  09_35_09   721.0     134.631500
   74  2018_02_21  09_35_19   731.0     134.631800
   75  2018_02_21  09_35_29   741.0     134.631200
   76  2018_02_21  09_35_39   751.0     134.632100
   77  2018_02_21  09_35_49   761.0     134.631800
   78  2018_02_21  09_35_59   771.0     134.631500
   79  2018_02_21  09_36_09   781.0     134.631200
   80  2018_02_21  09_36_19   791.0     134.631800
   81  2018_02_21  09_36_29   801.0     134.633000
   82  2018_02_21  09_36_39   811.0     134.632400
   83  2018_02_21  09_36_49   821.0     134.632100
   84  2018_02_21  09_36_59   831.0     134.632700
   85  2018_02_21  09_37_09   841.0     134.633000
   86  2018_02_21  09_37_19   851.0     134.632700
   87  2018_02_21  09_37_29   861.0     134.632400
   88  2018_02_21  09_37_39   871.0     134.633000
   89  2018_02_21  09_37_49   881.0     134.633600
   90  2018_02_21  09_37_59   891.0     134.634100
   91  2018_02_21  09_38_09   901.0     134.633600
   92  2018_02_21  09_38_19   911.0     134.633600
   93  2018_02_21  09_38_29   921.0     134.634100
   94  2018_02_21  09_38_39   931.0     134.634100
   95  2018_02_21  09_38_49   941.0     134.633800
   96  2018_02_21  09_38_59   951.0     134.633800
   97  2018_02_21  09_39_09   961.0     134.633800
   98  2018_02_21  09_39_19   971.0     134.634100
   99  2018_02_21  09_39_29   981.0     134.633800
  100  2018_02_21  09_39_39   991.0     134.634400
  101  2018_02_21  09_39_49  1001.0     134.634400
  102  2018_02_21  09_39_59  1011.0     134.634100
  103  2018_02_21  09_40_09  1021.0     134.634700
  104  2018_02_21  09_40_19  1031.0     134.634100
  105  2018_02_21  09_40_29  1041.0     134.634400
  106  2018_02_21  09_40_39  1051.0     134.635000
  107  2018_02_21  09_40_49  1061.0     134.635000
  108  2018_02_21  09_40_59  1071.0     134.635000
  109  2018_02_21  09_41_09  1081.0     134.634700
  110  2018_02_21  09_41_19  1091.0     134.635300
  111  2018_02_21  09_41_29  1101.0     134.635900
  112  2018_02_21  09_41_39  1111.0     134.635300
  113  2018_02_21  09_41_49  1121.0     134.635600
  114  2018_02_21  09_41_59  1131.0     134.635000
  115  2018_02_21  09_42_09  1141.0     134.635000
  116  2018_02_21  09_42_19  1151.0     134.634700
  117  2018_02_21  09_42_29  1161.0     134.635000
  118  2018_02_21  09_42_39  1171.0     134.634100
  119  2018_02_21  09_42_49  1181.0     134.635300
  120  2018_02_21  09_42_59  1191.0     134.635300
  121  2018_02_21  09_43_09  1201.0     134.635000
  122  2018_02_21  09_43_19  1211.0     134.633800
  123  2018_02_21  09_43_29  1221.0     134.633300
  124  2018_02_21  09_43_39  1231.0     134.634400
  125  2018_02_21  09_43_49  1241.0     134.633600
  126  2018_02_21  09_43_59  1251.0     134.633800
  127  2018_02_21  09_44_09  1261.0     134.633800
  128  2018_02_21  09_44_19  1271.0     134.633300
  129  2018_02_21  09_44_29  1281.0     134.633600
  130  2018_02_21  09_44_39  1291.0     134.633000
  131  2018_02_21  09_44_49  1301.0     134.633300
  132  2018_02_21  09_44_59  1311.0     134.633800
  133  2018_02_21  09_45_09  1321.0     134.633600
  134  2018_02_21  09_45_19  1331.0     134.632400
  135  2018_02_21  09_45_29  1341.0     134.632400
  136  2018_02_21  09_45_39  1351.0     134.632700
  137  2018_02_21  09_45_49  1361.0     134.633300
  138  2018_02_21  09_45_59  1371.0     134.632700
  139  2018_02_21  09_46_09  1381.0     134.631500
  140  2018_02_21  09_46_19  1391.0     134.633600
  141  2018_02_21  09_46_29  1401.0     134.633000
  142  2018_02_21  09_46_39  1411.0     134.633300
  143  2018_02_21  09_46_49  1421.0     134.633000
  144  2018_02_21  09_46_59  1431.0     134.634100
  145  2018_02_21  09_47_09  1441.0     134.633600
  146  2018_02_21  09_47_19  1451.0     134.633300
  147  2018_02_21  09_47_29  1461.0     134.633000
  148  2018_02_21  09_47_39  1471.0     134.633300
  149  2018_02_21  09_47_49  1481.0     134.633300
  150  2018_02_21  09_47_59  1491.0     134.633600
  151  2018_02_21  09_48_09  1501.0     134.633300
  152  2018_02_21  09_48_19  1511.0     134.633600
  153  2018_02_21  09_48_29  1521.0     134.634100
  154  2018_02_21  09_48_39  1531.0     134.633800
  155  2018_02_21  09_48_49  1541.0     134.634700
  156  2018_02_21  09_48_59  1551.0     134.634100
  157  2018_02_21  09_49_09  1561.0     134.633800
  158  2018_02_21  09_49_19  1571.0     134.634100
  159  2018_02_21  09_49_29  1581.0     134.633300
