Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_02_09  17_09_02     1.0     104.065520
    2  2018_02_09  17_09_12    11.0     104.065260
    3  2018_02_09  17_09_22    21.0     104.065200
    4  2018_02_09  17_09_32    31.0     104.065320
    5  2018_02_09  17_09_42    41.0     104.065200
    6  2018_02_09  17_09_52    51.0     104.065640
    7  2018_02_09  17_10_02    61.0     104.065430
    8  2018_02_09  17_10_12    71.0     104.065430
    9  2018_02_09  17_10_22    81.0     104.065200
   10  2018_02_09  17_10_32    91.0     104.065050
   11  2018_02_09  17_10_42   101.0     104.064940
   12  2018_02_09  17_10_52   111.0     104.065260
   13  2018_02_09  17_11_02   121.0     104.064880
   14  2018_02_09  17_11_12   131.0     104.065520
   15  2018_02_09  17_11_22   141.0     104.065430
   16  2018_02_09  17_11_32   151.0     104.064610
   17  2018_02_09  17_11_42   161.0     104.064940
   18  2018_02_09  17_11_52   171.0     104.064940
   19  2018_02_09  17_12_02   181.0     104.064790
   20  2018_02_09  17_12_12   191.0     104.064640
   21  2018_02_09  17_12_22   201.0     104.064580
   22  2018_02_09  17_12_32   211.0     104.064640
   23  2018_02_09  17_12_42   221.0     104.064440
   24  2018_02_09  17_12_52   231.0     104.064700
   25  2018_02_09  17_13_02   241.0     104.064640
   26  2018_02_09  17_13_12   251.0     104.064470
   27  2018_02_09  17_13_22   261.0     104.064470
   28  2018_02_09  17_13_32   271.0     104.064410
   29  2018_02_09  17_13_42   281.0     104.064200
   30  2018_02_09  17_13_52   291.0     104.064110
   31  2018_02_09  17_14_02   301.0     104.064000
   32  2018_02_09  17_14_12   311.0     104.064080
   33  2018_02_09  17_14_22   321.0     104.064470
   34  2018_02_09  17_14_32   331.0     104.064260
   35  2018_02_09  17_14_42   341.0     104.064380
   36  2018_02_09  17_14_52   351.0     104.064470
   37  2018_02_09  17_15_02   361.0     104.064290
   38  2018_02_09  17_15_12   371.0     104.064440
   39  2018_02_09  17_15_22   381.0     104.064520
   40  2018_02_09  17_15_32   391.0     104.064110
   41  2018_02_09  17_15_42   401.0     104.063940
   42  2018_02_09  17_15_52   411.0     104.064080
   43  2018_02_09  17_16_02   421.0     104.064200
   44  2018_02_09  17_16_12   431.0     104.063940
   45  2018_02_09  17_16_22   441.0     104.063850
   46  2018_02_09  17_16_32   451.0     104.064290
   47  2018_02_09  17_16_42   461.0     104.064020
   48  2018_02_09  17_16_52   471.0     104.063790
   49  2018_02_09  17_17_02   481.0     104.063820
   50  2018_02_09  17_17_12   491.0     104.064080
   51  2018_02_09  17_17_22   501.0     104.063910
   52  2018_02_09  17_17_32   511.0     104.064170
   53  2018_02_09  17_17_42   521.0     104.064050
   54  2018_02_09  17_17_52   531.0     104.063910
   55  2018_02_09  17_18_02   541.0     104.063880
   56  2018_02_09  17_18_12   551.0     104.064080
   57  2018_02_09  17_18_22   561.0     104.064110
   58  2018_02_09  17_18_32   571.0     104.064260
   59  2018_02_09  17_18_42   581.0     104.064140
   60  2018_02_09  17_18_52   591.0     104.064410
   61  2018_02_09  17_19_02   601.0     104.063700
   62  2018_02_09  17_19_12   611.0     104.063820
   63  2018_02_09  17_19_22   621.0     104.064410
   64  2018_02_09  17_19_32   631.0     104.063940
   65  2018_02_09  17_19_42   641.0     104.063610
   66  2018_02_09  17_19_52   651.0     104.063760
   67  2018_02_09  17_20_02   661.0     104.063880
   68  2018_02_09  17_20_12   671.0     104.064140
   69  2018_02_09  17_20_22   681.0     104.064170
   70  2018_02_09  17_20_32   691.0     104.063880
   71  2018_02_09  17_20_42   701.0     104.063760
   72  2018_02_09  17_20_52   711.0     104.064050
   73  2018_02_09  17_21_02   721.0     104.063470
   74  2018_02_09  17_21_12   731.0     104.063470
   75  2018_02_09  17_21_22   741.0     104.063610
   76  2018_02_09  17_21_32   751.0     104.063670
   77  2018_02_09  17_21_42   761.0     104.063970
   78  2018_02_09  17_21_52   771.0     104.063820
   79  2018_02_09  17_22_02   781.0     104.063610
   80  2018_02_09  17_22_12   791.0     104.063670
   81  2018_02_09  17_22_22   801.0     104.063790
   82  2018_02_09  17_22_32   811.0     104.063440
   83  2018_02_09  17_22_42   821.0     104.063760
   84  2018_02_09  17_22_52   831.0     104.063700
   85  2018_02_09  17_23_02   841.0     104.063380
   86  2018_02_09  17_23_12   851.0     104.063790
   87  2018_02_09  17_23_22   861.0     104.063850
   88  2018_02_09  17_23_32   871.0     104.064080
   89  2018_02_09  17_23_42   881.0     104.063700
   90  2018_02_09  17_23_52   891.0     104.063820
