Pt.        Date      Time        RT/s       R/Omiga    
  127  2018_02_14  10_22_20  1261.0     107.641680
  128  2018_02_14  10_22_30  1271.0     107.642150
  129  2018_02_14  10_22_40  1281.0     107.641950
  130  2018_02_14  10_22_50  1291.0     107.641830
  131  2018_02_14  10_23_00  1301.0     107.641450
  132  2018_02_14  10_23_10  1311.0     107.641890
  133  2018_02_14  10_23_20  1321.0     107.641830
  134  2018_02_14  10_23_30  1331.0     107.641920
  135  2018_02_14  10_23_40  1341.0     107.642120
  136  2018_02_14  10_23_50  1351.0     107.641710
  137  2018_02_14  10_24_00  1361.0     107.641680
  138  2018_02_14  10_24_10  1371.0     107.642090
  139  2018_02_14  10_24_20  1381.0     107.641920
  140  2018_02_14  10_24_30  1391.0     107.642030
  141  2018_02_14  10_24_40  1401.0     107.641680
  142  2018_02_14  10_24_50  1411.0     107.641680
  143  2018_02_14  10_25_00  1421.0     107.642240
  144  2018_02_14  10_25_10  1431.0     107.642210
  145  2018_02_14  10_25_20  1441.0     107.641740
  146  2018_02_14  10_25_30  1451.0     107.641450
  147  2018_02_14  10_25_40  1461.0     107.641540
  148  2018_02_14  10_25_50  1471.0     107.641240
  149  2018_02_14  10_26_00  1481.0     107.641570
  150  2018_02_14  10_26_10  1491.0     107.641590
  151  2018_02_14  10_26_20  1501.0     107.641800
  152  2018_02_14  10_26_30  1511.0     107.641710
  153  2018_02_14  10_26_40  1521.0     107.641740
  154  2018_02_14  10_26_50  1531.0     107.641890
  155  2018_02_14  10_27_00  1541.0     107.642180
  156  2018_02_14  10_27_10  1551.0     107.641770
  157  2018_02_14  10_27_20  1561.0     107.641920
  158  2018_02_14  10_27_30  1571.0     107.641860
  159  2018_02_14  10_27_40  1581.0     107.642060
  160  2018_02_14  10_27_50  1591.0     107.642090
  161  2018_02_14  10_28_00  1601.0     107.642060
  162  2018_02_14  10_28_10  1611.0     107.641950
  163  2018_02_14  10_28_20  1621.0     107.641680
  164  2018_02_14  10_28_30  1631.0     107.641740
  165  2018_02_14  10_28_40  1641.0     107.641540
  166  2018_02_14  10_28_50  1651.0     107.642060
  167  2018_02_14  10_29_00  1661.0     107.642030
  168  2018_02_14  10_29_10  1671.0     107.641360
  169  2018_02_14  10_29_20  1681.0     107.641540
  170  2018_02_14  10_29_30  1691.0     107.641800
  171  2018_02_14  10_29_40  1701.0     107.641920
  172  2018_02_14  10_29_50  1711.0     107.642010
  173  2018_02_14  10_30_00  1721.0     107.641590
  174  2018_02_14  10_30_10  1731.0     107.641770
  175  2018_02_14  10_30_20  1741.0     107.641590
  176  2018_02_14  10_30_30  1751.0     107.641330
  177  2018_02_14  10_30_40  1761.0     107.641570
  178  2018_02_14  10_30_50  1771.0     107.641510
  179  2018_02_14  10_31_00  1781.0     107.641650
  180  2018_02_14  10_31_10  1791.0     107.640920
  181  2018_02_14  10_31_20  1801.0     107.641100
  182  2018_02_14  10_31_30  1811.0     107.641180
  183  2018_02_14  10_31_40  1821.0     107.641540
  184  2018_02_14  10_31_50  1831.0     107.640950
  185  2018_02_14  10_32_00  1841.0     107.640600
  186  2018_02_14  10_32_10  1851.0     107.640890
  187  2018_02_14  10_32_20  1861.0     107.640710
  188  2018_02_14  10_32_30  1871.0     107.640980
  189  2018_02_14  10_32_40  1881.0     107.640860
  190  2018_02_14  10_32_50  1891.0     107.640450
  191  2018_02_14  10_33_00  1901.0     107.640710
  192  2018_02_14  10_33_10  1911.0     107.640600
  193  2018_02_14  10_33_20  1921.0     107.640600
  194  2018_02_14  10_33_30  1931.0     107.640740
  195  2018_02_14  10_33_40  1941.0     107.640240
  196  2018_02_14  10_33_50  1951.0     107.640450
  197  2018_02_14  10_34_00  1961.0     107.640650
  198  2018_02_14  10_34_10  1971.0     107.640740
  199  2018_02_14  10_34_20  1981.0     107.640770
  200  2018_02_14  10_34_30  1991.0     107.640740
  201  2018_02_14  10_34_40  2001.0     107.640630
  202  2018_02_14  10_34_50  2011.0     107.640070
  203  2018_02_14  10_35_00  2021.0     107.640570
  204  2018_02_14  10_35_10  2031.0     107.640450
  205  2018_02_14  10_35_20  2041.0     107.640330
  206  2018_02_14  10_35_30  2051.0     107.640450
  207  2018_02_14  10_35_40  2061.0     107.640360
  208  2018_02_14  10_35_50  2071.0     107.640070
  209  2018_02_14  10_36_00  2081.0     107.640480
  210  2018_02_14  10_36_10  2091.0     107.640860
  211  2018_02_14  10_36_20  2101.0     107.640420
  212  2018_02_14  10_36_30  2111.0     107.640010
  213  2018_02_14  10_36_40  2121.0     107.639950
  214  2018_02_14  10_36_50  2131.0     107.640130
  215  2018_02_14  10_37_00  2141.0     107.640570
  216  2018_02_14  10_37_10  2151.0     107.640130
  217  2018_02_14  10_37_20  2161.0     107.640070
  218  2018_02_14  10_37_30  2171.0     107.640160
  219  2018_02_14  10_37_40  2181.0     107.639800
  220  2018_02_14  10_37_50  2191.0     107.640040
  221  2018_02_14  10_38_00  2201.0     107.639770
  222  2018_02_14  10_38_10  2211.0     107.639920
  223  2018_02_14  10_38_20  2221.0     107.639450
  224  2018_02_14  10_38_30  2231.0     107.640270
  225  2018_02_14  10_38_40  2241.0     107.640100
  226  2018_02_14  10_38_50  2251.0     107.640070
  227  2018_02_14  10_39_00  2261.0     107.640100
  228  2018_02_14  10_39_10  2271.0     107.639950
  229  2018_02_14  10_39_20  2281.0     107.639740
  230  2018_02_14  10_39_30  2291.0     107.639980
  231  2018_02_14  10_39_40  2301.0     107.639830
  232  2018_02_14  10_39_50  2311.0     107.640010
  233  2018_02_14  10_40_00  2321.0     107.640450
  234  2018_02_14  10_40_10  2331.0     107.640450
  235  2018_02_14  10_40_20  2341.0     107.640630
  236  2018_02_14  10_40_30  2351.0     107.640300
  237  2018_02_14  10_40_40  2361.0     107.640130
  238  2018_02_14  10_40_50  2371.0     107.640890
  239  2018_02_14  10_41_00  2381.0     107.640740
  240  2018_02_14  10_41_10  2391.0     107.641010
  241  2018_02_14  10_41_20  2401.0     107.640650
  242  2018_02_14  10_41_30  2411.0     107.640680
  243  2018_02_14  10_41_40  2421.0     107.641120
  244  2018_02_14  10_41_50  2431.0     107.640650
  245  2018_02_14  10_42_00  2441.0     107.640770
  246  2018_02_14  10_42_10  2451.0     107.640860
  247  2018_02_14  10_42_20  2461.0     107.641100
  248  2018_02_14  10_42_30  2471.0     107.641070
  249  2018_02_14  10_42_40  2481.0     107.641240
  250  2018_02_14  10_42_50  2491.0     107.641210
  251  2018_02_14  10_43_00  2501.0     107.640890
  252  2018_02_14  10_43_10  2511.0     107.641120
  253  2018_02_14  10_43_20  2521.0     107.641180
  254  2018_02_14  10_43_30  2531.0     107.641270
  255  2018_02_14  10_43_40  2541.0     107.641540
  256  2018_02_14  10_43_50  2551.0     107.640980
  257  2018_02_14  10_44_00  2561.0     107.641210
  258  2018_02_14  10_44_10  2571.0     107.641010
  259  2018_02_14  10_44_20  2581.0     107.641390
  260  2018_02_14  10_44_30  2591.0     107.641680
  261  2018_02_14  10_44_40  2601.0     107.641180
  262  2018_02_14  10_44_50  2611.0     107.641040
  263  2018_02_14  10_45_00  2621.0     107.641360
  264  2018_02_14  10_45_10  2631.0     107.641680
  265  2018_02_14  10_45_20  2641.0     107.641100
  266  2018_02_14  10_45_30  2651.0     107.642010
  267  2018_02_14  10_45_40  2661.0     107.641540
  268  2018_02_14  10_45_50  2671.0     107.641180
  269  2018_02_14  10_46_00  2681.0     107.641210
  270  2018_02_14  10_46_10  2691.0     107.641390
  271  2018_02_14  10_46_20  2701.0     107.641510
  272  2018_02_14  10_46_30  2711.0     107.641180
  273  2018_02_14  10_46_40  2721.0     107.640480
  274  2018_02_14  10_46_50  2731.0     107.641040
  275  2018_02_14  10_47_00  2741.0     107.641070
  276  2018_02_14  10_47_10  2751.0     107.641330
  277  2018_02_14  10_47_20  2761.0     107.641040
  278  2018_02_14  10_47_30  2771.0     107.640950
  279  2018_02_14  10_47_40  2781.0     107.640860
  280  2018_02_14  10_47_50  2791.0     107.640860
  281  2018_02_14  10_48_00  2801.0     107.641010
  282  2018_02_14  10_48_10  2811.0     107.641010
  283  2018_02_14  10_48_20  2821.0     107.641100
  284  2018_02_14  10_48_30  2831.0     107.640650
  285  2018_02_14  10_48_40  2841.0     107.640800
  286  2018_02_14  10_48_50  2851.0     107.640710
  287  2018_02_14  10_49_00  2861.0     107.640950
  288  2018_02_14  10_49_10  2871.0     107.641270
  289  2018_02_14  10_49_20  2881.0     107.641300
  290  2018_02_14  10_49_30  2891.0     107.640860
  291  2018_02_14  10_49_40  2901.0     107.640710
  292  2018_02_14  10_49_50  2911.0     107.640920
  293  2018_02_14  10_50_00  2921.0     107.640950
  294  2018_02_14  10_50_10  2931.0     107.640450
  295  2018_02_14  10_50_20  2941.0     107.640800
  296  2018_02_14  10_50_30  2951.0     107.640890
  297  2018_02_14  10_50_40  2961.0     107.640570
  298  2018_02_14  10_50_50  2971.0     107.641100
  299  2018_02_14  10_51_00  2981.0     107.640600
  300  2018_02_14  10_51_10  2991.0     107.640650
