Pt.        Date      Time        RT/s       R/Omiga    
  127  2018_04_13  12_08_51  1260.0     126.953000
  128  2018_04_13  12_09_01  1270.0     126.956200
  129  2018_04_13  12_09_11  1280.0     126.958600
  130  2018_04_13  12_09_21  1290.0     126.960900
  131  2018_04_13  12_09_31  1300.0     126.963300
  132  2018_04_13  12_09_41  1310.0     126.966200
  133  2018_04_13  12_09_51  1320.0     126.968300
  134  2018_04_13  12_10_01  1330.0     126.970600
  135  2018_04_13  12_10_11  1340.0     126.972100
  136  2018_04_13  12_10_21  1350.0     126.974100
  137  2018_04_13  12_10_31  1360.0     126.976200
  138  2018_04_13  12_10_41  1370.0     126.978300
  139  2018_04_13  12_10_51  1380.0     126.980000
  140  2018_04_13  12_11_01  1390.0     126.982100
  141  2018_04_13  12_11_11  1400.0     126.984100
  142  2018_04_13  12_11_21  1410.0     126.985600
  143  2018_04_13  12_11_31  1420.0     126.988200
  144  2018_04_13  12_11_41  1430.0     126.989700
  145  2018_04_13  12_11_51  1440.0     126.990300
  146  2018_04_13  12_12_01  1450.0     126.993200
  147  2018_04_13  12_12_11  1460.0     126.993800
  148  2018_04_13  12_12_21  1470.0     126.995300
  149  2018_04_13  12_12_31  1480.0     126.997100
  150  2018_04_13  12_12_41  1490.0     126.998200
  151  2018_04_13  12_12_51  1500.0     126.999700
  152  2018_04_13  12_13_01  1510.0     127.000900
  153  2018_04_13  12_13_11  1520.0     127.002300
  154  2018_04_13  12_13_21  1530.0     127.004100
  155  2018_04_13  12_13_31  1540.0     127.005300
  156  2018_04_13  12_13_41  1550.0     127.006200
  157  2018_04_13  12_13_51  1560.0     127.007900
  158  2018_04_13  12_14_01  1570.0     127.008500
  159  2018_04_13  12_14_11  1580.0     127.009700
  160  2018_04_13  12_14_21  1590.0     127.011200
  161  2018_04_13  12_14_31  1600.0     127.012300
  162  2018_04_13  12_14_41  1610.0     127.013200
  163  2018_04_13  12_14_51  1620.0     127.014400
  164  2018_04_13  12_15_01  1630.0     127.015600
  165  2018_04_13  12_15_11  1640.0     127.016700
  166  2018_04_13  12_15_21  1650.0     127.017900
  167  2018_04_13  12_15_31  1660.0     127.019100
  168  2018_04_13  12_15_41  1670.0     127.019400
  169  2018_04_13  12_15_51  1680.0     127.020600
  170  2018_04_13  12_16_01  1690.0     127.021400
  171  2018_04_13  12_16_11  1700.0     127.021700
  172  2018_04_13  12_16_21  1710.0     127.023500
  173  2018_04_13  12_16_31  1720.0     127.024400
  174  2018_04_13  12_16_41  1730.0     127.024700
  175  2018_04_13  12_16_51  1740.0     127.026700
  176  2018_04_13  12_17_01  1750.0     127.027000
  177  2018_04_13  12_17_11  1760.0     127.027600
  178  2018_04_13  12_17_21  1770.0     127.028500
  179  2018_04_13  12_17_31  1780.0     127.029400
  180  2018_04_13  12_17_41  1790.0     127.030300
  181  2018_04_13  12_17_51  1800.0     127.030900
  182  2018_04_13  12_18_01  1810.0     127.031400
  183  2018_04_13  12_18_11  1820.0     127.032300
  184  2018_04_13  12_18_21  1830.0     127.032900
  185  2018_04_13  12_18_31  1840.0     127.034400
  186  2018_04_13  12_18_41  1850.0     127.034100
  187  2018_04_13  12_18_51  1860.0     127.035300
  188  2018_04_13  12_19_01  1870.0     127.036400
  189  2018_04_13  12_19_11  1880.0     127.036100
  190  2018_04_13  12_19_21  1890.0     127.037000
  191  2018_04_13  12_19_31  1900.0     127.037900
  192  2018_04_13  12_19_41  1910.0     127.037600
  193  2018_04_13  12_19_51  1920.0     127.038800
  194  2018_04_13  12_20_01  1930.0     127.039700
  195  2018_04_13  12_20_11  1940.0     127.039400
  196  2018_04_13  12_20_21  1950.0     127.040600
  197  2018_04_13  12_20_31  1960.0     127.041100
  198  2018_04_13  12_20_41  1970.0     127.042000
  199  2018_04_13  12_20_51  1980.0     127.042600
  200  2018_04_13  12_21_01  1990.0     127.042300
  201  2018_04_13  12_21_11  2000.0     127.043200
  202  2018_04_13  12_21_21  2010.0     127.043800
  203  2018_04_13  12_21_31  2020.0     127.044400
  204  2018_04_13  12_21_41  2030.0     127.044700
  205  2018_04_13  12_21_51  2040.0     127.045300
  206  2018_04_13  12_22_01  2050.0     127.045300
  207  2018_04_13  12_22_11  2060.0     127.046700
  208  2018_04_13  12_22_21  2070.0     127.046100
  209  2018_04_13  12_22_31  2080.0     127.047000
  210  2018_04_13  12_22_41  2090.0     127.046700
  211  2018_04_13  12_22_51  2100.0     127.048200
  212  2018_04_13  12_23_01  2110.0     127.048800
  213  2018_04_13  12_23_11  2120.0     127.048800
  214  2018_04_13  12_23_21  2130.0     127.050000
  215  2018_04_13  12_23_31  2140.0     127.050500
  216  2018_04_13  12_23_41  2150.0     127.050500
  217  2018_04_13  12_23_51  2160.0     127.051100
  218  2018_04_13  12_24_01  2170.0     127.051700
  219  2018_04_13  12_24_11  2180.0     127.052300
  220  2018_04_13  12_24_21  2190.0     127.052600
  221  2018_04_13  12_24_31  2200.0     127.052300
  222  2018_04_13  12_24_41  2210.0     127.052900
  223  2018_04_13  12_24_51  2220.0     127.052600
  224  2018_04_13  12_25_01  2230.0     127.052600
  225  2018_04_13  12_25_11  2240.0     127.054100
  226  2018_04_13  12_25_21  2250.0     127.053800
  227  2018_04_13  12_25_31  2260.0     127.054400
  228  2018_04_13  12_25_41  2270.0     127.054100
  229  2018_04_13  12_25_51  2280.0     127.054400
  230  2018_04_13  12_26_01  2290.0     127.054100
  231  2018_04_13  12_26_11  2300.0     127.054100
  232  2018_04_13  12_26_21  2310.0     127.054400
  233  2018_04_13  12_26_31  2320.0     127.055000
  234  2018_04_13  12_26_41  2330.0     127.055500
  235  2018_04_13  12_26_51  2340.0     127.055800
  236  2018_04_13  12_27_01  2350.0     127.055200
