Fluid	StartDate	StartTime	EndDate	EndTime	T	dT	p	dp	tau	dtau
VACUUM	2023.04.24	10:45:11	2023.04.24	10:48:14	264.898671018012	0.00513412226912695	0.00289771112163973	0.00133429277208449	0.002553674085829	2.0665682288844e-09
VACUUM	2023.04.24	10:48:15	2023.04.24	10:51:17	264.898195597256	0.00298338972243262	0.00253700056060167	0.00131024890472537	0.00255367481418186	2.01560953893446e-09
VACUUM	2023.04.24	10:51:18	2023.04.24	10:54:21	264.896129342115	0.00340878809330114	0.00232981064949223	0.00141044203641838	0.0025536743218316	2.07849505392931e-09
VACUUM	2023.04.24	11:55:00	2023.04.24	11:58:03	283.78299815382	0.00610875286533738	0.0029497985940289	0.00130522345740949	0.00255989466417101	1.99584648772736e-09
VACUUM	2023.04.24	11:58:04	2023.04.24	12:01:06	283.803743093498	0.0080613747472571	0.00259724839811501	0.00127780446317562	0.00255989838324653	3.03558591985509e-09
VACUUM	2023.04.24	12:01:07	2023.04.24	12:04:10	283.806110633878	0.00543490503366465	0.00284500702912862	0.00137144129123751	0.00255990143500434	2.06807156547369e-09
VACUUM	2023.04.24	13:04:35	2023.04.24	13:07:37	303.169385601908	0.00608743789919654	0.00236722800211251	0.00117631140057057	0.00256639077690972	2.62607332469983e-09
VACUUM	2023.04.24	13:07:38	2023.04.24	13:10:41	303.183533123489	0.00790769022632252	0.00147376598091862	0.000709347482010589	0.00256639560682509	2.58820935128746e-09
VACUUM	2023.04.24	13:10:42	2023.04.24	13:13:45	303.188286438956	0.00502286771475084	0.00259550121526723	0.00128055052648116	0.00256639906548394	1.99295945762793e-09
VACUUM	2023.04.24	14:07:19	2023.04.24	14:10:22	322.768267389217	0.0113118655100837	0.00270238240641334	0.00132558396490505	0.00257304418888889	2.46945335566863e-09
VACUUM	2023.04.24	14:10:23	2023.04.24	14:13:26	322.775912934293	0.00934561212755641	0.00246644279024834	0.00124692695282011	0.00257304762777778	2.21732778820058e-09
VACUUM	2023.04.24	14:13:27	2023.04.24	14:16:33	322.78016755405	0.0139076990574356	0.0024698422486164	0.00121951925165614	0.00257304993888889	2.57656800205916e-09
VACUUM	2023.04.25	06:38:22	2023.04.25	06:41:25	342.558080700487	0.00757844943010858	0.00257335728221112	0.00129916716352328	0.00257988021240235	2.44760078960419e-09
VACUUM	2023.04.25	06:41:26	2023.04.25	06:44:28	342.512262052995	0.0227592780937596	0.00252691762832862	0.0012974933426468	0.00257986662190755	4.70488572304335e-09
VACUUM	2023.04.25	06:44:29	2023.04.25	06:47:31	342.543250031823	0.0192127582966313	0.00168269863476695	0.00101119610350818	0.00257987286919488	3.34786861713336e-09
VACUUM	2023.04.25	08:01:59	2023.04.25	08:05:01	362.400927487294	0.00977884494982863	0.00248035309638362	0.00130113126132628	0.00258680303412543	2.22158009691679e-09
VACUUM	2023.04.25	08:05:02	2023.04.25	08:08:05	362.370723204124	0.0293800712094374	0.00229629504255806	0.0013005677064533	0.00258679421522352	5.47453001593862e-09
VACUUM	2023.04.25	08:08:06	2023.04.25	08:11:08	362.414732818877	0.0116087657979523	0.00232999935412001	0.0013354722147334	0.00258680311279297	4.19220260676546e-09
VACUUM	2023.04.25	10:19:59	2023.04.25	10:23:04	382.124700654203	0.0202294011900888	0.0017509841793964	0.00109052127309623	0.00259376703694661	4.32404837308051e-09
VACUUM	2023.04.25	10:23:05	2023.04.25	10:26:08	382.153227830625	0.00901508192889795	0.00161862508843223	0.00113776343181876	0.00259377200520833	2.82158037462983e-09
VACUUM	2023.04.25	10:26:09	2023.04.25	10:29:11	382.090700990659	0.0287908270007665	0.00291156870148195	0.00124752149601374	0.00259375841606988	7.96138594679414e-09
VACUUM	2023.04.25	11:30:19	2023.04.25	11:33:22	402.003694562845	0.0120351222648377	0.00340538651183195	0.00108251014234041	0.00260089366590712	2.45613603565587e-09
VACUUM	2023.04.25	11:33:23	2023.04.25	11:36:26	402.006211732198	0.0150924404265182	0.00275085396512612	0.0013873573972311	0.00260089377983941	2.60382708667725e-09
VACUUM	2023.04.25	11:36:27	2023.04.25	11:39:29	401.972305720923	0.0324577144778639	0.00277423391349418	0.0013109152340245	0.0026008854288737	5.82736486935296e-09
VACUUM	2023.04.25	12:43:07	2023.04.25	12:46:09	421.82748623091	0.0132392681870887	0.00254575035018084	0.00140824484612052	0.00260811212565104	3.48966021325922e-09
VACUUM	2023.04.25	12:46:10	2023.04.25	12:49:13	421.793193908058	0.0219309165717369	0.00302068326739917	0.00125687750159157	0.00260809574788411	9.68039975840528e-09
VACUUM	2023.04.25	12:49:14	2023.04.25	12:52:16	421.825902250557	0.0150467015561342	0.00271937081803584	0.00123755184831054	0.00260809553900825	4.78880893093213e-09
