Pt.        Date      Time        RT/s       R/Omiga    
  127  2018_03_05  10_05_01  1260.0     119.273070
  128  2018_03_05  10_05_11  1270.0     119.273390
  129  2018_03_05  10_05_21  1280.0     119.273310
  130  2018_03_05  10_05_31  1290.0     119.273750
  131  2018_03_05  10_05_41  1300.0     119.274160
  132  2018_03_05  10_05_51  1310.0     119.274280
  133  2018_03_05  10_06_01  1320.0     119.274250
  134  2018_03_05  10_06_11  1330.0     119.274390
  135  2018_03_05  10_06_21  1340.0     119.274450
  136  2018_03_05  10_06_31  1350.0     119.274950
  137  2018_03_05  10_06_41  1360.0     119.274420
  138  2018_03_05  10_06_51  1370.0     119.274830
  139  2018_03_05  10_07_01  1380.0     119.274660
  140  2018_03_05  10_07_11  1390.0     119.274920
  141  2018_03_05  10_07_21  1400.0     119.274770
  142  2018_03_05  10_07_31  1410.0     119.274770
  143  2018_03_05  10_07_41  1420.0     119.274660
  144  2018_03_05  10_07_51  1430.0     119.275390
  145  2018_03_05  10_08_01  1440.0     119.274980
  146  2018_03_05  10_08_11  1450.0     119.275420
  147  2018_03_05  10_08_21  1460.0     119.275100
  148  2018_03_05  10_08_31  1470.0     119.274950
  149  2018_03_05  10_08_41  1480.0     119.274980
  150  2018_03_05  10_08_51  1490.0     119.275240
  151  2018_03_05  10_09_01  1500.0     119.275130
  152  2018_03_05  10_09_11  1510.0     119.274950
  153  2018_03_05  10_09_22  1520.0     119.274920
  154  2018_03_05  10_09_31  1530.0     119.274480
  155  2018_03_05  10_09_41  1540.0     119.275040
  156  2018_03_05  10_09_51  1550.0     119.275130
  157  2018_03_05  10_10_01  1560.0     119.274860
  158  2018_03_05  10_10_11  1570.0     119.274860
  159  2018_03_05  10_10_21  1580.0     119.274720
  160  2018_03_05  10_10_31  1590.0     119.274420
  161  2018_03_05  10_10_41  1600.0     119.274250
  162  2018_03_05  10_10_51  1610.0     119.274070
  163  2018_03_05  10_11_01  1620.0     119.274630
  164  2018_03_05  10_11_11  1630.0     119.274250
  165  2018_03_05  10_11_21  1640.0     119.274480
  166  2018_03_05  10_11_31  1650.0     119.274390
  167  2018_03_05  10_11_41  1660.0     119.274480
  168  2018_03_05  10_11_51  1670.0     119.274570
  169  2018_03_05  10_12_01  1680.0     119.274630
  170  2018_03_05  10_12_11  1690.0     119.274660
  171  2018_03_05  10_12_21  1700.0     119.274570
  172  2018_03_05  10_12_31  1710.0     119.274950
  173  2018_03_05  10_12_41  1720.0     119.274750
  174  2018_03_05  10_12_51  1730.0     119.274860
  175  2018_03_05  10_13_01  1740.0     119.274890
  176  2018_03_05  10_13_11  1750.0     119.274660
  177  2018_03_05  10_13_21  1760.0     119.274980
  178  2018_03_05  10_13_31  1770.0     119.274480
  179  2018_03_05  10_13_41  1780.0     119.274920
  180  2018_03_05  10_13_51  1790.0     119.274600
  181  2018_03_05  10_14_01  1800.0     119.274330
  182  2018_03_05  10_14_11  1810.0     119.274190
  183  2018_03_05  10_14_21  1820.0     119.274540
  184  2018_03_05  10_14_31  1830.0     119.274040
  185  2018_03_05  10_14_41  1840.0     119.274010
  186  2018_03_05  10_14_51  1850.0     119.274130
  187  2018_03_05  10_15_01  1860.0     119.274950
  188  2018_03_05  10_15_11  1870.0     119.274330
  189  2018_03_05  10_15_21  1880.0     119.274190
  190  2018_03_05  10_15_31  1890.0     119.274980
  191  2018_03_05  10_15_41  1900.0     119.274660
  192  2018_03_05  10_15_51  1910.0     119.274690
  193  2018_03_05  10_16_01  1920.0     119.274480
  194  2018_03_05  10_16_11  1930.0     119.274750
  195  2018_03_05  10_16_21  1940.0     119.274770
  196  2018_03_05  10_16_31  1950.0     119.274660
  197  2018_03_05  10_16_41  1960.0     119.274750
  198  2018_03_05  10_16_51  1970.0     119.274690
  199  2018_03_05  10_17_01  1980.0     119.274540
  200  2018_03_05  10_17_11  1990.0     119.274860
  201  2018_03_05  10_17_21  2000.0     119.275330
  202  2018_03_05  10_17_31  2010.0     119.274980
  203  2018_03_05  10_17_41  2020.0     119.275300
  204  2018_03_05  10_17_51  2030.0     119.274770
  205  2018_03_05  10_18_01  2040.0     119.275190
  206  2018_03_05  10_18_11  2050.0     119.274800
  207  2018_03_05  10_18_21  2060.0     119.274980
  208  2018_03_05  10_18_31  2070.0     119.275220
  209  2018_03_05  10_18_41  2080.0     119.274860
  210  2018_03_05  10_18_51  2090.0     119.275220
  211  2018_03_05  10_19_01  2100.0     119.275300
  212  2018_03_05  10_19_11  2110.0     119.275190
  213  2018_03_05  10_19_21  2120.0     119.275160
  214  2018_03_05  10_19_31  2130.0     119.275100
  215  2018_03_05  10_19_41  2140.0     119.274660
  216  2018_03_05  10_19_51  2150.0     119.275070
  217  2018_03_05  10_20_01  2160.0     119.275300
  218  2018_03_05  10_20_11  2170.0     119.274830
  219  2018_03_05  10_20_21  2180.0     119.274390
  220  2018_03_05  10_20_31  2190.0     119.274980
  221  2018_03_05  10_20_41  2200.0     119.274630
  222  2018_03_05  10_20_51  2210.0     119.274800
  223  2018_03_05  10_21_01  2220.0     119.274830
