Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_03_06  09_38_32     1.0     134.313800
    2  2018_03_06  09_38_42    11.0     134.315900
    3  2018_03_06  09_38_52    21.0     134.317900
    4  2018_03_06  09_39_02    31.0     134.319700
    5  2018_03_06  09_39_12    41.0     134.321200
    6  2018_03_06  09_39_22    51.0     134.323500
    7  2018_03_06  09_39_32    61.0     134.324400
    8  2018_03_06  09_39_42    71.0     134.326200
    9  2018_03_06  09_39_52    81.0     134.328500
   10  2018_03_06  09_40_02    91.0     134.331200
   11  2018_03_06  09_40_12   101.0     134.333500
   12  2018_03_06  09_40_22   111.0     134.335600
   13  2018_03_06  09_40_32   121.0     134.336400
   14  2018_03_06  09_40_42   131.0     134.337900
   15  2018_03_06  09_40_52   141.0     134.339400
   16  2018_03_06  09_41_02   151.0     134.340900
   17  2018_03_06  09_41_12   161.0     134.342600
   18  2018_03_06  09_41_22   171.0     134.345600
   19  2018_03_06  09_41_32   181.0     134.346100
   20  2018_03_06  09_41_42   191.0     134.347900
   21  2018_03_06  09_41_52   201.0     134.347600
   22  2018_03_06  09_42_02   211.0     134.349700
   23  2018_03_06  09_42_12   221.0     134.351100
   24  2018_03_06  09_42_22   231.0     134.352600
   25  2018_03_06  09_42_32   241.0     134.353200
   26  2018_03_06  09_42_42   251.0     134.355000
   27  2018_03_06  09_42_52   261.0     134.355600
   28  2018_03_06  09_43_02   271.0     134.357000
   29  2018_03_06  09_43_12   281.0     134.358500
   30  2018_03_06  09_43_22   291.0     134.359400
   31  2018_03_06  09_43_32   301.0     134.360800
   32  2018_03_06  09_43_42   311.0     134.361700
   33  2018_03_06  09_43_52   321.0     134.363200
   34  2018_03_06  09_44_02   331.0     134.364700
   35  2018_03_06  09_44_12   341.0     134.365000
   36  2018_03_06  09_44_22   351.0     134.365500
   37  2018_03_06  09_44_32   361.0     134.366400
   38  2018_03_06  09_44_42   371.0     134.367900
   39  2018_03_06  09_44_52   381.0     134.369100
   40  2018_03_06  09_45_02   391.0     134.370500
   41  2018_03_06  09_45_12   401.0     134.371100
   42  2018_03_06  09_45_22   411.0     134.372000
   43  2018_03_06  09_45_32   421.0     134.372600
   44  2018_03_06  09_45_42   431.0     134.373800
   45  2018_03_06  09_45_52   441.0     134.374100
   46  2018_03_06  09_46_02   451.0     134.375500
   47  2018_03_06  09_46_12   461.0     134.376400
   48  2018_03_06  09_46_22   471.0     134.377300
   49  2018_03_06  09_46_32   481.0     134.377300
   50  2018_03_06  09_46_42   491.0     134.378500
   51  2018_03_06  09_46_52   501.0     134.379400
   52  2018_03_06  09_47_02   511.0     134.380500
   53  2018_03_06  09_47_12   521.0     134.381400
   54  2018_03_06  09_47_22   531.0     134.382000
   55  2018_03_06  09_47_32   541.0     134.383500
   56  2018_03_06  09_47_42   551.0     134.383800
   57  2018_03_06  09_47_52   561.0     134.384300
   58  2018_03_06  09_48_02   571.0     134.385200
   59  2018_03_06  09_48_12   581.0     134.385200
   60  2018_03_06  09_48_22   591.0     134.386700
   61  2018_03_06  09_48_32   601.0     134.387000
   62  2018_03_06  09_48_42   611.0     134.387900
   63  2018_03_06  09_48_52   621.0     134.388500
   64  2018_03_06  09_49_02   631.0     134.389300
   65  2018_03_06  09_49_12   641.0     134.389900
   66  2018_03_06  09_49_22   651.0     134.389600
   67  2018_03_06  09_49_32   661.0     134.390800
   68  2018_03_06  09_49_42   671.0     134.390800
   69  2018_03_06  09_49_52   681.0     134.392300
   70  2018_03_06  09_50_02   691.0     134.392600
   71  2018_03_06  09_50_12   701.0     134.393500
   72  2018_03_06  09_50_22   711.0     134.394000
   73  2018_03_06  09_50_32   721.0     134.393800
   74  2018_03_06  09_50_42   731.0     134.394300
   75  2018_03_06  09_50_52   741.0     134.394900
   76  2018_03_06  09_51_02   751.0     134.396100
   77  2018_03_06  09_51_12   761.0     134.396100
   78  2018_03_06  09_51_22   771.0     134.397000
   79  2018_03_06  09_51_32   781.0     134.396100
   80  2018_03_06  09_51_42   791.0     134.397300
   81  2018_03_06  09_51_52   801.0     134.397300
   82  2018_03_06  09_52_02   811.0     134.397900
   83  2018_03_06  09_52_12   821.0     134.398500
   84  2018_03_06  09_52_22   831.0     134.399000
   85  2018_03_06  09_52_32   841.0     134.399000
   86  2018_03_06  09_52_42   851.0     134.398500
   87  2018_03_06  09_52_52   861.0     134.399600
   88  2018_03_06  09_53_02   871.0     134.400500
   89  2018_03_06  09_53_12   881.0     134.400500
   90  2018_03_06  09_53_22   891.0     134.401100
   91  2018_03_06  09_53_32   901.0     134.401100
   92  2018_03_06  09_53_42   911.0     134.402000
   93  2018_03_06  09_53_52   921.0     134.402600
   94  2018_03_06  09_54_02   931.0     134.402000
   95  2018_03_06  09_54_12   941.0     134.403200
   96  2018_03_06  09_54_22   951.0     134.403500
   97  2018_03_06  09_54_32   961.0     134.403700
   98  2018_03_06  09_54_42   971.0     134.403700
   99  2018_03_06  09_54_52   981.0     134.404300
  100  2018_03_06  09_55_02   991.0     134.405200
  101  2018_03_06  09_55_12  1001.0     134.406100
  102  2018_03_06  09_55_22  1011.0     134.406100
  103  2018_03_06  09_55_32  1021.0     134.406400
  104  2018_03_06  09_55_42  1031.0     134.406700
  105  2018_03_06  09_55_52  1041.0     134.407000
  106  2018_03_06  09_56_02  1051.0     134.407600
  107  2018_03_06  09_56_12  1061.0     134.407600
  108  2018_03_06  09_56_22  1071.0     134.407600
  109  2018_03_06  09_56_32  1081.0     134.409000
  110  2018_03_06  09_56_42  1091.0     134.408400
  111  2018_03_06  09_56_52  1101.0     134.409900
  112  2018_03_06  09_57_02  1111.0     134.410200
  113  2018_03_06  09_57_12  1121.0     134.408700
  114  2018_03_06  09_57_22  1131.0     134.409300
