Pt.        Date      Time        RT/s       R/Omiga    
    1  2018_03_01  09_35_07     0.0     111.128590
    2  2018_03_01  09_35_17    10.0     111.070380
    3  2018_03_01  09_35_27    20.0     111.012880
    4  2018_03_01  09_35_38    31.0     110.953230
    5  2018_03_01  09_35_47    40.0     110.899990
    6  2018_03_01  09_35_57    50.0     110.844420
    7  2018_03_01  09_36_07    60.0     110.789680
    8  2018_03_01  09_36_17    70.0     110.735050
    9  2018_03_01  09_36_27    80.0     110.681310
   10  2018_03_01  09_36_37    90.0     110.628410
   11  2018_03_01  09_36_47   100.0     110.575990
   12  2018_03_01  09_36_57   110.0     110.516430
   13  2018_03_01  09_37_07   120.0     110.457310
   14  2018_03_01  09_37_17   130.0     110.402950
   15  2018_03_01  09_37_27   140.0     110.350880
   16  2018_03_01  09_37_37   150.0     110.299460
   17  2018_03_01  09_37_47   160.0     110.249760
   18  2018_03_01  09_37_57   170.0     110.200720
   19  2018_03_01  09_38_07   180.0     110.152170
   20  2018_03_01  09_38_17   190.0     110.104360
   21  2018_03_01  09_38_27   200.0     110.057690
   22  2018_03_01  09_38_37   210.0     110.011670
   23  2018_03_01  09_38_47   220.0     109.965770
   24  2018_03_01  09_38_57   230.0     109.920720
   25  2018_03_01  09_39_07   240.0     109.875780
   26  2018_03_01  09_39_17   250.0     109.831080
   27  2018_03_01  09_39_27   260.0     109.787300
   28  2018_03_01  09_39_37   270.0     109.743160
   29  2018_03_01  09_39_47   280.0     109.700630
   30  2018_03_01  09_39_57   290.0     109.657660
   31  2018_03_01  09_40_07   300.0     109.614960
   32  2018_03_01  09_40_17   310.0     109.573380
   33  2018_03_01  09_40_27   320.0     109.531700
   34  2018_03_01  09_40_37   330.0     109.490500
   35  2018_03_01  09_40_47   340.0     109.449470
   36  2018_03_01  09_40_57   350.0     109.409090
   37  2018_03_01  09_41_07   360.0     109.368850
   38  2018_03_01  09_41_17   370.0     109.328650
   39  2018_03_01  09_41_27   380.0     109.289470
   40  2018_03_01  09_41_37   390.0     109.250110
   41  2018_03_01  09_41_47   400.0     109.210760
   42  2018_03_01  09_41_57   410.0     109.172230
   43  2018_03_01  09_42_07   420.0     109.135080
   44  2018_03_01  09_42_17   430.0     109.096750
   45  2018_03_01  09_42_27   440.0     109.059190
   46  2018_03_01  09_42_37   450.0     109.021860
   47  2018_03_01  09_42_47   460.0     108.985410
   48  2018_03_01  09_42_57   470.0     108.949590
   49  2018_03_01  09_43_07   480.0     108.913700
   50  2018_03_01  09_43_17   490.0     108.878780
   51  2018_03_01  09_43_27   500.0     108.844210
   52  2018_03_01  09_43_37   510.0     108.810110
   53  2018_03_01  09_43_47   520.0     108.776630
   54  2018_03_01  09_43_57   530.0     108.743510
   55  2018_03_01  09_44_07   540.0     108.710320
   56  2018_03_01  09_44_17   550.0     108.676750
   57  2018_03_01  09_44_27   560.0     108.643180
   58  2018_03_01  09_44_37   570.0     108.610030
   59  2018_03_01  09_44_47   580.0     108.577130
   60  2018_03_01  09_44_57   590.0     108.544360
   61  2018_03_01  09_45_07   600.0     108.511320
   62  2018_03_01  09_45_17   610.0     108.479280
   63  2018_03_01  09_45_27   620.0     108.447470
   64  2018_03_01  09_45_37   630.0     108.415160
   65  2018_03_01  09_45_47   640.0     108.383800
   66  2018_03_01  09_45_57   650.0     108.352760
   67  2018_03_01  09_46_07   660.0     108.321680
   68  2018_03_01  09_46_17   670.0     108.291460
   69  2018_03_01  09_46_27   680.0     108.260860
   70  2018_03_01  09_46_37   690.0     108.230760
   71  2018_03_01  09_46_47   700.0     108.201040
